关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
职场委婉表达,活跃,大家都在搜,5,"43; run3(2026-08-12,web-only因XHS未登录)新增4条(4/15≈26.7%)","约35(08-03run4,6条样本:1/1/20/107/10,web2条无点赞数据) | run3(08-12)均值—(web-only无点赞数据)","08-03run4_XHS4/5=80%+web2/2=100%,长空档复查(距07-20隔14天)再验证高命中规律 | run3(2026-08-12)_4/15≈26.7%(活跃复查,web-only,选取原因为距上次运行天数最长(最近运行字段此前为空);新增高情商的人说话办事有多厉害[知乎]/如何高情商回怼[知乎]/如何高情商回复领导[知乎]/会来事的职场人都是这样高情商回复领导的[知乎]共4条,过滤11条重复[数英职场正向沟通/搜狐10个高情商话术/知乎高情商聊天话术等];未达40%阈值,活跃状态不受影响)",2026-06-24,2026-08-12
薪资待遇话术,活跃,筛选标签,6,50,约2609(4条XHS样本:2.5万/3122;2条web无热度),"run_长空档26天复查_XHS8/24=33.3%+web2/2=100%,合计10/26≈38.5%(2026-08-06)",2026-06-24,2026-08-06
hr问题,活跃,筛选标签,11,run4(2026-08-13)新增16条(16/19=84.2%); 62,约2205(16条样本) | 前值见历史,"run4(2026-08-13,同日第4轮)_16/19=84.2%(长空档活跃复查(距07-20隔24天,综合排序);验证长空档规律持续有效;新增速码面试入职前一定要和HR确认的7大问题(1天前发布)/HR只相信这八种离职原因1251赞等;过滤1条与求职内容无关的AI Agent招聘工具笔记) | 前值:run7_20%(2新/~10抓;65个最常见面试问题CSDN/HR高频反问牛客);run3_24.4%(11新/45抓;XHS10+web1;HR面经题库/多轮面试确认问题供给明显回升,当日历史最高命中率);run3_26.9%(7新/26抓;XHS22+web2,经相关性过滤剔除4条泛HR职业内",2026-06-24,2026-08-13
高情商表达,退休,筛选标签,2,14,约1830(含本轮混合估算),07-29run3:29.4%(10新/34抓;XHS+web混合;本轮新增10条计入累计),2026-06-24,2026-07-29
简单大气的自我介绍,活跃,"小红书综合排序,首投升级",3,"本轮新增3条(3/6=50%,3条因非职场场景[校园新生/主播/自媒体]过滤); 前值见历史",约1.0(本轮3条样本:0/3/0),"run2_长空档复查(距07-17隔25天)_3/6=50%(2026-08-11;命中率低于历史平均,核心原因为泛义词'自我介绍'被校园/主播/自媒体等非职场场景内容大量稀释,建议后续投放前先人工复核前排是否偏题,参考'面试装松弛感'语义漂移案例)",2026-06-25,2026-08-11
职业规划,活跃,小红书综合排序,4,35,6912,88.0%,2026-07-10,2026-08-17
面试技巧和话术万能回答,退休,大家都在搜/筛选标签,1,0,—,首投~5%(高重叠退休),2026-06-24,2026-07-10
结构化面试万能分析公式,活跃,大家都在搜/筛选标签,3,run2(2026-08-14)_8/19=42.1%; 11,约926（8条样本）,run2(2026-08-14)_8/19=42.1% | 07-29run3:17.4%(8新/46抓;XHS+web混合;本轮新增8条计入累计),2026-06-24,2026-08-14
面试反问环节可以问什么,活跃,大家都在搜/筛选标签,3,21,1,"run2_7/13≈53.8%(XHS6/6+web1/7,活跃复查,筛选最新排序失效改用综合排序样本)",首投40%(4新/约10),2026-08-04
面试成功的征兆,候选,大家都在搜/筛选标签,1,4,—,"首投14.3%(4新/28抓;XHS20+web8;面试官说了下面3句话说明你通过面试了/这些玄学信号出现时/面试技巧54面试HR说这5句话恭喜你稳了3条XHS+鲸选型面试官说什么话暗示成功1条web新增;高热样本你要被录用了的征兆8908赞与低热样本9个积极信号55赞标题结构高度相似,进一步验证账号体量而非标题结构是热度决定因素;首投命中率14.3%低于40%活跃阈值,标注已试投候选)",2026-06-24,2026-07-20
离职原因怎么说,活跃,大家都在搜/筛选标签,25,run4(2026-08-16)_4/19=21.1%; 160,约722（4条样本）,"run4(2026-08-16)_4/19=21.1% | run3_30%(3新/~10抓;高情商回答36氪版/HR七大认可原因/脉脉话术);原:run5_30%(3新/~10抓;牛客话题页/低高情商对比帖/知乎老帖);run3_28.6%(12新/42抓;XHS10+web2;涨薪话术/辞职信模板/书面场景细分角度供给充沛,当日全场最高命中率);07-19run1_25%(3新/12抓;XHS2+web1;跳槽理由/秒过offer话术等子话题小幅增量,供给转弱但未完全饱和);07-20run3_26.7%(12新/45抓;XHS35+web10;离职原因怎么说决定了新公司迎接你的态度/HR知道但不一定會拆穿的5句離職理由/我做管理后才发现离职原因这样写等9条XHS+简历本/简历网/CSDN 3条web新增,供给仍充沛);本轮活跃复查新增5条(XHS3+web2);为什么离职我见过最聪明的回答/面试被问离职原因怎么答[15分钟前新发]/经验贴离职原因怎么答三条XHS+CSDN/脉脉两条web;19.2%(5新/26抓;07-31;距上次运行07-20隔11天复查,命中率高于同批次种子词,离职话题供给仍相对充沛",run4约28%(4XHS+3网页;最高命中率),2026-08-16
沟通话术,活跃,大家都在搜/筛选标签,4,27,约5千(被1.8万拉高),2026-08-15run2:16.7%(1新/6抓;web-only;距07-30约16天空档；web-only，命中率16.7%低于长空档规律预期，待XHS复核),2026-06-24,2026-08-15
讲话逻辑/表达框架,活跃,大家都在搜/筛选标签,2,15,—,"08-03run1活跃复查_0/40=0%(完全饱和,抽查条目均为历史旧发布,唯一疑似新样本""1张图搞定所有逻辑关系""实为2025-08-03去年同日旧文)",2026-06-24,2026-08-03
职场漂亮话,活跃,大家都在搜/筛选标签,6,38,约1.3万,08-18run1_7/21=33.3%,2026-06-24,2026-08-18
弱者表达,种子,"大家都在搜/筛选标签｜20260816升种子:run3命中率90.0%(18/20)全场最高,而饱和的面试种子已掉到0%",4,run7(2026-08-18)_1/20=5.0%; 26,约16（1条样本）,"run7(2026-08-18)_1/20=5.0% | run2_25%(2新;气场口头禅888/戒掉气息54);run3_18/20=90.0%(2026-08-05,长空档复查[距07-10隔26天]全场最高命中率,验证长空档规律,数字清单体+强弱对比体大量新发)",2026-06-24,2026-08-18
谈薪技巧,活跃,大家都在搜/筛选标签,14,100,"1166;本轮谈薪技巧类新增25条XHS均值约2771,web1条","run5(2026-08-16)_4/10=40.0%(web-only,XHS风控) | 0%(run4:完全饱和建议降频);run4_24.1%(7新/29抓;XHS2+web5;时隔12天复查[上次07-06],供给转弱但未完全饱和,建议继续保持低频复查节奏，勿连续同日投放);run5_39.4%(26新/66抓;XHS25+web1;07-31;距上次运行07-18隔13天复查,谈薪照着念/薪资被砍了还不知道谈薪前先确认这些[6.7万赞]/克服恐惧类多篇高热样本集中涌现,较run4(24.1%)明显回升,再次验证复查间隔越长命中率越高规律,建议维持约2周一次的复查节奏)",2026-06-28,2026-08-16
被问到有没有其他offer怎么回答,活跃,大家都在搜/筛选标签,5,32,约3899(9条样本:769/7616/154/6045/441/8862/9880/197/2007),"run_长空档26天复查_17/20=85.0%(2026-08-06,历史最高单轮新增,强力验证长空档规律)",2026-07-09,2026-08-06
面试问团队氛围,活跃,大家都在搜/筛选标签,2,12,"约39(08-03run4,8条样本:9/2/4/77/16/131/66/9)","08-03run4_8/8=100%(候选二投,累计67%→100%,达40%阈值升级活跃;注意与既有活跃词""面试反问""内容重叠度较高,需持续过滤)",2026-07-09,2026-08-03
职场强势表达,活跃,大家都在搜,3,10,—(网页源),"run2_60%(6新/10抓;网页;强势话术/沉默震慑术/问题反弹术/情绪分离法等心理学包装话术,与谈判/绩效反馈场景形成新素材);原:75%; run1_0%(0新/6抓;web;长空档复查[距07-16隔24天],本轮检索结果均为已收录旧文,零新增)",2026-06-25,2026-08-09
职场有效表达,退休,大家都在搜,3,6,—,"08-01run3_0/20=0.0%(长空档活跃复查,距07-04隔28天,本轮未见新发布,相关搜索标签收割:职场生存法则话术/职场高效表达);08-01run3_0/20=0.0%(长空档活跃复查,距07-04隔28天,本轮未见新发布,相关搜索标签收割:职场生存法则话术/职场高效表达)",首投60%(6新/约10),2026-08-01
办公室例会话术,活跃,大家都在搜,2,19,—,2026-08-15run2:40.0%(2新/5抓;web-only;距07-30约16天空档；体制内公文口径站源为新发现),2026-06-25,2026-08-15
向上汇报话术,活跃,高频标题,11,"69; 本轮新增5条(5/7≈71.4%,web-only)",1190 | run(08-12)均值—(web-only无点赞数据),"run2约17%(4新;供给渐饱和;反直觉钩子仍有增量);run4_34.6%(9新/26抓;XHS4+web5;时隔17天复查[上次07-01],万能公式/汇报结构/PREP公式等子话题仍有稳定供给,未现明显饱和,建议维持约2周一次复查节奏) | run(2026-08-12)_5/7≈71.4%(长空档复查,距07-18隔25天;web-only因XHS未登录;新增如何向领导汇报工作/如何向领导汇报工作有什么好的方法和技巧/和领导高效沟通懂这6点就够了/如何跟领导简单高效的汇报工作/向领导汇报工作有哪些注意事项共5条知乎问答,过滤2条重复[向领导汇报工作的七个技巧/【沟通】如何进行向上汇报];长空档规律在web渠道下亦成立,但样本量小及web天然去重历史池特性需XHS复核确认)",2026-06-25,2026-08-12
面试暗示你已经通过了,候选,大家都在搜,1,13,—,"候选首投40.6%(13新/32抓;XHS;与已收录'面试潜台词''面试成功的信号'两词重叠约60%以上,原始命中率达标但收录口径下增量价值有限,标注已试投暂不升级活跃",2026-06-25,2026-07-19
部门面试自我介绍,活跃,大家都在搜,2,13,6769,08-01run1_8/17=47.1%;—;08-17run4_5/14=35.7%,2026-06-25,2026-08-17
面试时候的自我介绍,候选,大家都在搜,1,6,"本轮新增6条,均值约5527; 前值:—","run1_6/20=30%(2026-08-08;首投;20条XHS样本新增6条[一张图概括英文自我介绍/面试做自我介绍90%的人第一句话就错了/面试自我介绍满分话术2分钟速成拿offer/这是我见过的最好的自我介绍/全英面试题请介绍一下你自己/500强面试001黄金3分钟自我介绍],另网页侧新增2条[知乎-面试自我介绍这样说一分钟让HR记住你/人人都是产品经理-运用产品的3个层次做好面试自我介绍];未达40%阈值维持候选,建议下轮优先复投)",2026-06-25,2026-08-08
技术面试反问,候选,大家都在搜,1,6,—,"首投32%(6新/22抓;XHS时间排序19+web3;结果与既有活跃词'面试反问'高度重叠[如面试一定要会反问会反问会反问-胖菠萝堡8.2万赞等泛反问内容占多数],未见明显区别于通用反问的'技术垂直'内容;判断该词与'面试反问'边际区分度低,建议下轮观察是否降级,暂不独立升级活跃)",2026-06-25,2026-07-17
大厂面试反问,候选,大家都在搜,2,6,—,"08-01run3候选首投3/20=15.0%(未达40%阈值,维持候选;字节hr喜欢的面试反问41赞/4个反问让面试官下定决心录用你929赞/大厂面试官不告诉你的3个隐藏加分项3赞1天前;与既有活跃词'面试反问'内容重叠度高);08-01run3候选首投3/20=15.0%(未达40%阈值,维持候选;字节hr喜欢的面试反问41赞/4个反问让面试官下定决心录用你929赞/大厂面试官不告诉你的3个隐藏加分项3赞1天前;与既有活跃词'面试反问'内容重叠度高)",2026-06-25,2026-08-01
二面反问,候选,大家都在搜,0,0,—,—,2026-06-25,—
面试反问hr,候选,大家都在搜,0,0,—,—,2026-06-25,—
薪资争取话术,活跃,大家都在搜,2,14(含run4新增8条),"约14(run4样本8条:23/4/4/8/16/8/—/11均值约10.5,历史—)","首投26%(6新/23抓;XHS时间排序20+web3;新增跟老板提加薪90%的人一开口就输了[50赞]/HR实话谈薪被压价这样回能加钱[65赞]/跳槽谈薪掌握这些技巧薪资直接涨40%[214赞]等,内容与既有词区分度高、供给充沛,升级活跃;XHS搜索页'大家都在搜'联想捕获谈薪相关长尾候选词) | run4_长空档复查(距07-17隔25天)_8/8=100%(2026-08-11;XHS最新排序全部相关,大胆开问原来谈薪要这么答23赞/薪资不是报出来的而是前面一点点争取来的4赞/HRBP怎么跟老板谈涨薪成功率90%的方法/HR给不到期望薪资怎样一句话翻盘8赞等,创该词历史单轮最高命中率纪录,再次验证长空档规律)",2026-06-25,2026-08-11
谈薪禁忌千万别犯,活跃,大家都在搜,8,run3(2026-08-14)_5/20=25.0%; 57,约3159（5条样本）,"run3(2026-08-14)_5/20=25.0% | 07-29run4:43.3%(13新/30抓;XHS4+web9;活跃复查[上次07-01,28天空档],供给明显回升);本次11%(饱和)",2026-06-25,2026-08-14
应届生怎么谈薪,活跃,大家都在搜,2,13,—(网页源无点赞数据),"run2_6/26≈23.1%(2026-08-07;长空档复查[距07-15隔23天],XHS新增:震惊职场狠人谈薪方法/薪资被砍了还不知道谈薪前先确认这些/14句高阶薪资谈判话术/面试谈高薪小tips[11.8万赞全场最高]/想谈薪资无从开口5步教你拿下更高工资/加拿大秋招应届生谈薪技巧,验证长空档规律); 前值:首投70%(7新/10抓;网页;资深HR谈薪知乎/argue薪资技巧牛客/应届生谈薪水的困惑知乎/1~2k谈薪技巧CSDN等多来源满贯命中,首投即验证充沛供给)",2026-06-25,2026-08-07
boss终面面试一般会问什么,活跃,大家都在搜,2,17,3424,"08-01run2_4/5=80.0%(候选首投,综合排序,5抓中1条与记忆库已收录重复,4条新增覆盖高管面/CEO面/终面通关技巧等角度,命中率达40%阈值升级为活跃);08-17run4_13/24=54.2%",2026-06-25,2026-08-17
逻辑表达力,活跃,小红书筛选标签/网页高频,2,14,"约48(被334一条拉高,08-03run2)",08-03run2_10/10=100%(长空档复查[距07-07隔27天]再次验证高命中规律),2026-06-25,2026-08-03
面试问题清单,候选,小红书筛选标签/网页高频,1,3,约474,12%(首投),2026-06-25,2026-07-08
面试抗压能力,活跃,小红书筛选标签/网页高频,2,16,"约6919(被4.1万/1.2万两条拉高,08-03run2)","08-03run2_9/12=75%(注:本轮筛选最新排序切换失败,实为综合排序样本,已在运行日志说明)",2026-06-25,2026-08-03
面试优缺点怎么说,活跃,小红书筛选标签/网页高频,19,126,"2167;本轮新增11条XHS均值约3185,web2条","run5(2026-08-16)_3/9=33.3%(web-only,XHS风控) | 0717run1_14%(3新/22抓;XHS时间排序20+web2;新增面试官就喜欢你这样说自己的缺点[252赞]/最大的缺点是什么面试官最喜欢的8个回答[626赞]/面试满分回答你的优越点是什么[97赞];较07-16的92%大幅回落,判断为常规波动非真实饱和,维持活跃观察下轮); 原:run4_92%(12新/13抓;小红书时间排序;距上次运行07-11供给明显回升,面试被问你的缺点是什么三个回答直接抄[31赞]/就职短处长处转化用语[17赞]等多来源,仅1条与""面试什么话该说""关键词重叠[面试被问优缺点要怎么说]); 原:run16_0%(饱和);run18_27.7%(13新/47抓;XHS11+web2;07-31;距上次运行07-17隔14天复查,HR问你的缺点该怎么回答[8868/1.5万赞两个版本]/你有什么缺点原来这才是外企面试官想听的等多来源,较run17(14%)回",2026-07-06,2026-08-16
面试万能公式,候选,小红书筛选标签/网页高频,1,5,—,—,2026-06-25,2026-07-01
主动提问,退休,小红书筛选标签/网页高频,1,3,—,"08-02run4执行07-31历史建议予以退休(关键词""主动提问""在小红书语境下高频指向AI Prompt工程/社交破冰话题,与职场表达/面试反问主题不符,不建议原样复投);候选首投(07-31)10.7%(3新/28抓)",2026-06-25,2026-08-02
终面反问环节可以问什么,候选,大家都在搜,0,0,—,—,2026-06-25,—
销售面试反问,候选,大家都在搜,0,0,—,—,2026-06-25,—
程序员面试反问,候选,大家都在搜,0,0,—,—,2026-06-25,—
宝洁八大问,活跃,大家都在搜,2,28,"约905(19条样本均值,含4547/2907/2337/1843/1082等多条高热;部分样本Mercor/WLB排行榜主题轻微漂移)","run3_90%(9新/~10抓;首次投放,STAR框架/急救模板/案例版等经典长青内容命中率极高,建议升级活跃);run4_19/20=95.0%(2026-08-05,长空档复查[距07-14隔22天]近满贯命中,邪修速成体新发现)",2026-06-25,2026-08-05
外包谈薪,退休,大家都在搜,1,1,—,"08-02run4执行07-31历史建议予以退休(20条结果中约15条为外包员工薪资/社保吐槽话题而非谈薪话术技巧,与主题匹配度低);候选首投(07-31)5.0%(1新/20抓)",2026-06-25,2026-08-02
跳槽谈薪,候选,大家都在搜/筛选标签,1,7,267,08-01run1_7/23=30.4%;—,2026-06-25,2026-08-01
收到offer怎么谈薪,活跃,大家都在搜,2,7,—(网页源无点赞数据),"run2_2/11≈18.2%(2026-08-07;长空档复查[距07-15隔23天],XHS新增:offer薪资不满意如何二次谈判/Shopify Senior程序员跳槽总结); 前值:首投50%(5新/10抓;网页;8年HR薪酬谈判全攻略知乎/offer怎么谈牛客/6套话术正保会计/筑招人才网/三茅人力资源网五条新增,与应届生怎么谈薪构成薪资谈判主题簇)",2026-06-25,2026-08-07
社招谈薪技巧,退休,大家都在搜,1,1,890(单条样本),"首投run1_5.0%(1新/20抓,2026-08-06;与既有'谈薪'活跃词簇高度重叠,未达40%阈值维持候选)",2026-06-25,2026-08-06
实习谈薪,活跃,大家都在搜,3,23,约900,08-18run2_3/11=27.3%,2026-06-25,2026-08-18
电话谈薪技巧,活跃,大家都在搜,1,5,约480(2条样本:772/188;2条web无热度),"候选二投_XHS3/10=30.0%+web2/2=100%,合计5/12≈41.7%(2026-08-06,达40%阈值升级为活跃)",2026-06-25,2026-08-06
涨薪案例,活跃,筛选标签,2,8,约500,08-18run2_4/7=57.1%,2026-06-25,2026-08-18
加薪话术,活跃,筛选标签,2,21,约1178(7条样本:374/343/116/224/820/770/5302),"82.4%(14新/17抓;XHS9+web5;08-02run2候选首投,远超40%阈值,升级为活跃) | 08-18run4_7/20=35.0%",2026-06-25,2026-08-18
向上汇报话术模板,活跃,大家都在搜,1,11,"约900(混合,多条无显示热度)","首投run1_55.0%(11新/20抓,2026-08-06)远超40%阈值,同轮升级为活跃",2026-06-25,2026-08-06
高质量汇报话术,候选,大家都在搜,1,5,—,"run1_5/17≈29.4%(2026-08-07;候选首投,未达40%升级阈值,维持候选,与既有活跃词""向上汇报话术模板""存在中度重叠需注意); 前值:—",2026-06-25,2026-08-07
职场汇报万能话术,活跃,大家都在搜,1,11,"约7006(被7.1万一条拉高,08-03run2)","08-03run2_11/15≈73.3%(达40%阈值,候选首投升级为活跃;注:综合排序样本)",2026-06-25,2026-08-03
向上管理,活跃,高频标题,2,40,"1078(候选首投,样本量34条XHS)",08-03run1活跃复查_2/34=5.9%(超级干货五星级职场向上沟通与目标管理47赞[4小时前]/纳瓦尔上升期最容易做错的三件事24赞[2天前]),2026-06-25,2026-08-03
结构化汇报,活跃,高频标题,2,29,约2536(8条有热度样本/15条新增),"82.4%(14新/17抓;XHS9+web5;08-02run2候选首投,远超40%阈值,升级为活跃) | 08-18run4_15/20=75.0%",2026-06-25,2026-08-18
PREP公式,活跃,高频标题,3,25,"本轮新增13条,均值约335; 前值:—","run4_13/20=65%(2026-08-08;长空档复查距07-15隔24天;20条XHS样本新增13条relevant[职场人狠狠码住PREP模型/3分钟学会PREP/4个表达公式/职场高手底层汇报模型PREP/用PREP公式让沟通效率翻倍/结论先行PRER模型/建议尽早用这两个模型锻炼表达/职场100个技能解决逻辑表达混乱/PREP黄金表达法/面试两套公式搞定面试官/汇报总被说没重点PREP和SCQA/说话没人听因为顺序错了PREP四步闭环/面试说话没逻辑试试PRER沟通法则],另过滤1条营销文案结构类不相关内容;再次验证长空档规律,本轮为该词历史单轮最高命中率); 前值:run3_33%(2新/6抓;网页;CSDN-PREP黄金沟通法则+知乎麦肯锡电梯汇报术两条新增);原:首投run1_63%(10新/~16抓;网页;知乎/博客园/简书/CSDN/融管理社区/RGF日企HR等多来源，首次投放供给充沛)",2026-06-25,2026-08-08
周例会如何汇报,活跃,高频标题,1,5,"约2779(08-05首投,5条样本:10000/3409/100/145/242)","run1候选首投_5/8=62.5%(远超40%阈值,同轮升级为活跃)",2026-06-25,2026-08-05
面试潜台词,活跃,高频标题,14,本轮新增6条(100.0%); 92,约12(本轮6条样本:6/6/1/2/17/41),"run3_6/6=100.0%(2026-08-11;长空档活跃复查[距07-29隔13天],不同面试官潜台词拆解读懂真实意图6赞/今天教你听懂HR的潜台词6赞/面试时HR说的这些话真实意思是41赞等6条全新发布笔记,再次验证长空档规律持续有效,本轮全场最高命中率)",run4约15%(1XHS+2网页;建议降频),2026-08-11
克服面试恐惧,活跃,高频标题,2,run2(2026-08-17)新增4条; 23,"约384（1条XHS样本）| 4414(候选首投,样本量20条XHS)","2026-08-17run2_4/13=30.8%(XHS+web) | 47.9%(23新/48抓;XHS20+web3;07-31候选首投;可是我真的很讨厌面试[4.6万赞]/你可以一边害怕一边勇敢[1.7万赞]/【全英】面了50+次才发现自信并不能练出来[7425赞]等情绪共鸣类高热样本密集涌现,远超40%升级阈值,首投即升级为活跃)",2026-06-25,2026-08-17
面试活人感,活跃,小红书高频标题(面试松弛感赛道),6,33,约2千,"run2_5/20=25.0%(2026-08-07;距07-14长空档24天,新增:面试的本质其实就是气质筛选1077赞/拿不下面试官可能是因为没活人感1251赞/面试答题一定要有活人感949赞/面试最重要不是能力而是你展现出的掌控感/一分钟提升面试活人感); 前值:run2_10%(1新/~10抓",2026-07-02,2026-08-07
hr定薪一般要多久,候选,大家都在搜/筛选标签/高频标题,1,3,约低(仅web样本),"08-03run3_web3/9≈33.3%(XHS侧筛选最新排序切换失败样本作废未计入,建议下轮重投验证真实命中率),未达40%阈值,维持候选",2026-06-25,2026-08-03
面试通过谈薪资怎么谈,候选,大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-25,—
工作应聘应该问哪些,候选,大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-25,—
面试官想录用你的表现,活跃,小红书大家都在搜,3,24,"约527(08-04,8条样本:76/7/230/2415/33/16/1358/43,长空档28天复查历史最高命中)",08-04run1_8/8≈100.0%,2026-06-25,2026-08-04
面试反问环节案例,候选,大家都在搜/筛选标签/高频标题,0,0,—,—,2026-06-25,—
面试不能说哪些个人信息,活跃,大家都在搜/筛选标签/高频标题,1,13,约14487(2条样本:3519/5.4万;7条无热度),"候选首投_XHS9/13=69.2%(过滤1条低相关加拿大政府面试内容)+web4/4=100%,合计13/17≈76.5%(2026-08-06,全场最高命中率,远超40%阈值升级为活跃)",2026-06-25,2026-08-06
面试没有工作经历怎么写,活跃,大家都在搜/筛选标签/高频标题,1,13,约1839(08-03run2),"08-03run2_13/14≈92.9%(达40%阈值,候选首投升级为活跃;注:综合排序样本)",2026-06-25,2026-08-03
表达框架,候选,大家都在搜/筛选标签/高频标题,1,5,—,"run1_5/17≈29.4%(2026-08-07;候选首投,未达40%阈值维持候选;已过滤1条低相关""8种AI提示词框架""); 前值:—",2026-06-25,2026-08-07
表达系统,退休,大家都在搜/筛选标签/高频标题,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与讲话逻辑/表达框架簇高度重叠且从未试投,2026-06-25,2026-08-02
沟通力模型,退休,大家都在搜/筛选标签/高频标题,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与结构化表达/沟通话术簇高度重叠且从未试投,2026-06-25,2026-08-02
候选(已试投),退休,大家都在搜/筛选标签/高频标题,1,4,约3千(被4万拉高),"08-02run4发现该行关键词列疑似历史数据污染(实际内容为状态占位字符串而非真实关键词),予以退休清理,day7run1约13%(4新;与职场表达簇高重叠)",2026-06-30,2026-08-02
职场人品训练,退休,大家都在搜/筛选标签/高频标题,0,0,—,08-02run4候选积压清点(674>30阈值)按尾部低价值退休;与职场表达/面试赛道相关性存疑且从未试投,2026-06-25,2026-08-02
面试官提问技巧和思路,退休,大家都在搜/筛选标签/高频标题,1,1,170,"08-02run4候选首投4.3%(1新/23抓;XHS;厉害的人都在用苏格拉底式提问170赞;其余结果与既有'面试反问'''面试博弈论'簇约90%重叠,未达40%阈值维持候选,建议后续不再原样复投)",2026-06-25,2026-08-02
面试肢体语言,活跃,小红书大家都在搜,4,33,约3918(7条XHS新增均值),08-17run1_12/25=48.0%(XHS+web),2026-06-25,2026-08-17
面试说三个缺点,候选,面试优缺点大家都在搜,1,8,"约35(08-03run3,8条混合样本)","08-03run3_8/28≈28.6%(XHS5/19+web3/9,首投,未达40%阈值,维持候选,已试投)",2026-07-03,2026-08-03
面试优缺点怎么高情商回答,活跃,大家都在搜/筛选标签/高频标题,1,8,约20(run4样本8条:69/3/14/2/—/1/60/—均值约21.5),"run4_首投8/8=100%(2026-08-11;面试必问你有什么缺点保姆级教程69赞/面试被问缺点怎么答三个标准话术直接套用3赞/来自面试官角度的分享缺点也是优点14赞等,远超40%阈值同轮升级为活跃)",2026-06-25,2026-08-11
