日期,轮次,跑的关键词数,总抓取条数(估),本轮新增条数,记忆库累计,小红书状态,连续0新增轮数,告警,备注
2026-06-29,run1(day6首轮),8,~91(XHS+网页双源),38,943,"登录成功,8词最新排序全部取真实热度;笔记正文modal点击ref256未展开,结构按标题/热度层面假设",0,否,"候选 面试成功的信号 首投即丰收升活跃(11新约65%,别再傻乎乎2.8万/真心招你5899/录用前兆4958,全新高相关子赛道);向上汇报约42%本轮命中最高(反直觉'关键不在讲什么'1万领涨);自我介绍模板i人专用 与自我介绍簇高重叠保持候选;4种子持续饱和(面试技巧XHS零新增);新增候选13个;无退休"
2026-06-29,run2(day6次轮),8,~155(XHS+网页双源),70,1013,"登录成功,8词最新排序全部取真实热度;笔记正文modal仍未展开,结构按标题/热度层面假设",0,否,"两候选首投全部升活跃:个人工作汇报话术(12新67%,述职不是演讲1.7万,与向上汇报簇约50%重叠)/高情商职场应对话术(16新55%,50句接话7228/情绪价值88句6867,与接话簇高重叠+怼人噪声);活跃词离职原因68%为全天最高;谈薪45%回暖;4种子持续饱和(面试技巧仅2新均存量);新增候选15个;无退休"
2026-06-29,run3(day6三轮),8,~30(XHS16新+网页),~13,~1500,"登录成功,8词最新排序全部取真实热度;笔记正文modal仍未展开,结构按标题/热度层面假设",0,否,低产轮:4种子+谈薪+职场会接话全饱和XHS零增量;增量全靠两候选首投——HR压薪话术7新50%升活跃(与谈薪簇60%重叠)/一分钟自我介绍满分模板3新30%保持候选(自我介绍簇70%重叠);新增候选22个;无退休
2026-06-29,run4(day6四轮),8,~95(XHS+网页双源),31,1060,"登录成功,8词最新排序全部取真实热度;笔记正文modal仍未展开,结构按标题/热度层面假设",0,否,"三新赛道候选首投全部升活跃:演讲开场白(10新约90%,Presentation6.8万/撒贝宁4.9万/落落大方1.2万全新高相关)/甩锅话术(10新约80%,不当背锅侠2.3万/高水平甩锅8588,含怼人噪声需过滤)/职场分寸感(7新约75%,别把领导当自己人1.7万领涨余多中低热);4种子+面试反问全面饱和(种子合计仅5新);新增候选18个;无退休"
2026-06-30,run1(day7首轮),8,~125(XHS+网页双源),32,1092,"登录成功;8词最新排序全部取真实热度;笔记正文modal懒加载未稳定展开,结构按标题/热度层面假设",0,否,候选 职场高级表达 首投13%(4新/~30抓)保持候选(与职场表达簇高重叠);面试优缺点怎么说22%本轮命中最高(9新;真诚回答视角/你套路HR烦了838等新角度);面试潜台词15%(6新;华尔街视角2.7万/如果面试官说真话2.6万两新爆款);面试反问14%(5新;淘垃圾公司6140新角度);4种子持续饱和(面试技巧/职场表达各2新);新增候选5个;无退休
2026-06-30,run3(day7三轮),7,~90(XHS+网页双源),44,1177,登录成功;7词最新排序;XHS modal仍未展开结构按标题热度假设,0,否,面试的小技巧候选首投升活跃(6新30%;2.7万/2.4万/5950高热;与面试技巧簇65%重叠需轮换);向上汇报话术48%全轮最高(12新;根本不在于讲什么1万/领导思维3180/老板最想听5174);谈薪技巧45%(9新;其实还有3次涨薪3347/HR压薪1831/前高盛1179);4种子全面饱和;新增候选词6个;无退休
2026-07-02,run2(day9次轮),7,~130(XHS+网页双源),63,1468,登录成功;7词最新排序全部取真实热度;结构分析按标题热度假设,0,否,HR压薪话术17新94%最高命中率;面试潜台词12新80%仍活跃(37万/32.5万/10.2万超高热);职场幽默接话8新67%(12.7万高热);面试成功的信号9新75%;面试优缺点8新67%(2.8万高热);演讲开场白6新60%(MIT4175/年终4225);高情商职场应对3新30%;6新候选词（谈薪说法等HR压薪衍生词）;无退休;AI面试技巧首投升活跃
2026-07-02,run3(day9三轮),7,~100(XHS+网页双源),15,1484,XHS登录正常;7词抓取;4种子全饱和XHS合计2新;面试松弛感6新40%命中率;谈薪/向上汇报XHS饱和;'活人感'新子赛道涌现;3新候选词,0,否,面试松弛感本轮最活跃(6新含4783高热);活人感子赛道建议升活跃;谈薪/向上汇报建议降频
2026-07-03,run4(day10四轮),8,~120(XHS+网页双源),34,1637,XHS登录正常;8词抓取;面试成功的信号XHS13新命中率高;职场幽默接话5新多为极新发帖;HR压薪话术0新完全饱和;面试活人感首投7新多为历史高热爆款,0,否,面试成功的信号run4新增13条命中率极高(让面试官当场决定录用你2.4万/你要被录用了2575);面试活人感候选首投7新含5万/3.3万/2.1万高热;HR压薪话术完全饱和建议降为每3天运行1次;职场幽默接话仍有极新发帖增量(今日新帖活跃度高);4种子XHS全饱和网页6新;新候选词学会幽默接话法/幽默回复同事等
2026-07-04,run4(day11四轮),7,17(XHS10+网页7),17,1787,XHS无需登录正常访问;7词最新排序;4种子词XHS完全饱和(各≤1新);离职原因怎么说最活跃(7新28%命中率);面试潜台词仍有少量增量;AI面试新赛道蓝海期(Claude提示词/面试博弈论),0,否,离职原因怎么说本轮最活跃(7新/4XHS+3网页;聪明人体面离职/不撒谎版等新角度);4种子词极度饱和;面试成功的信号XHS零增量;新候选词2个(面试博弈论/AI辅助面试技巧)
2026-07-05,run1,8,10,1797,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试超绝心态+甩锅话术+面试成功的信号+2026AI面试新趋势,2026AI面试新趋势升级为活跃,XHS已登录无拦截,,
2026-07-05,run2,8,42,1840,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试活人感+面试优缺点怎么说+即兴发言+面试配得感,即兴发言升级为活跃;面试配得感升级为活跃,XHS已登录正常抓取,,
2026-07-06,run2,8,约110(XHS+网页双源),13,1979,职场表达+面试技巧+面试什么话该说+面试什么话不能说+离职原因怎么说+面试配得感+即兴发言+面试反问,无升降级;新候选5个(面试配得感怎么展示/提升/临场发言/面试反问加分回答/简短离职原因),XHS登录正常,
2026-07-06,run4,8,约160(XHS+网页双源),8,2005,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试活人感+谈薪技巧+面试博弈论+演讲开场白,无升降级;新候选3个(求职谈薪技巧/面试谈薪博弈论/求职面试博弈论),面试博弈论20%(3新;谈薪话题8314热;转行/缺点下低热);演讲开场白20%(4新含AI演讲3865);6个词完全饱和建议降频,
2026-07-07,run2,甩锅话术|事业单位面试不能说什么|面试超绝心态|面试优缺点怎么说|职场表达|面试技巧|面试什么话不能说,73,2093,completed,,,,
2026-07-07,run4,面试成功的信号|英文面试技巧|面试官想录用你的表现|逻辑表达力|面试抗压能力|职场表达话术,24,2132,completed,3活跃首投升级(逻辑表达力/面试抗压能力/职场表达话术);面试成功的信号9%命中率(渐饱和);英文面试技巧6%低命中;新候选7个;郑雁执逻辑能力17.9万极高热为账号体量主导;压力面试博弈论反自证角度新增,,,
2026-07-08,run2,18,2179,面试底层逻辑/面试超绝心态/离职原因怎么说/面试问题清单(首投)/4种子,面试问题清单升候选已试投;新增候选词:面试定薪/面试掌控感/高管自我介绍,,,,
2026-07-08,run3,7,25,2204,职场幽默接话41%命中创单词新高；新增8候选词；反向禁忌体是接话赛道最强钩子,,,,
2026-07-09,run2,38,2312,职场表达+面试技巧+面试什么话该说+面试什么话不能说+离职原因怎么说+面试优缺点怎么说+职场幽默话术(首投)+幽默接话技巧(首投),新增38条;离职原因40%命中最高;职场幽默话术首投50%升活跃;新增候选4个;低门槛照抄结构验证高热,,,,
2026-07-10,run1,31,职场表达/面试技巧/面试什么话该说/面试什么话不能说/职场幽默接话/离职原因怎么说/面试定薪/面试配得感,XHS+网页搜索,530个关键词,新增11候选词,,,
2026-07-10,run2,51,面试优缺点怎么说/事业单位面试不能说什么/甩锅话术/面试博弈论/面试什么话该说/面试什么话不能说/职场表达/面试技巧,XHS+网页搜索,532个关键词,面试博弈论建议降频,,,
2026-07-11,run1,16,2479,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试优缺点怎么说+面试配得感+面试职业规划怎么说(首投),面试职业规划怎么说首投升活跃★★★,XHS未登录(Chrome扩展未连接)，全部网页来源，面试职业规划怎么说首投命中率约90%,,,
2026-07-11,run2,10,2489,职场表达+面试技巧+面试什么话该说+面试什么话不能说+离职原因怎么说+被问到有没有其他offer怎么回答+事业单位面试不能说什么+面试职业规划怎么说,XHS未连接(Chrome扩展),新增候选2个(HR面试黑话/面试职业规划禁忌话题);面试职业规划run3_80%持续高命中;中青报+BOSS直聘新权威来源;2026模板+不踩坑=离职原因高热公式,,,
2026-07-12,run3,11,2571,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试职业规划怎么说+hr问题+面试成功了的征兆(首投)+讲话逻辑/表达框架(首投),面试成功了的征兆升活跃;讲话逻辑/表达框架升活跃;新候选2个,XHS未连接(Chrome扩展),全部网页来源;记忆库2571,,
2026-07-13,run1,29,2631,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试配得感+面试没通过的信号+HR面试黑话+职场口才训练(首投),职场口才训练首投80%升活跃;新候选2个(面试情绪管理/HR高质量对谈技巧),XHS未连接(Chrome扩展),全部网页来源;记忆库2631,,
2026-07-13,run3,8,80,28,2677,职场表达+面试技巧+面试什么话该说+面试什么话不能说+hr问题+离职原因怎么说+招聘黑话解读(首投)+讨好型人格改掉(首投),招聘黑话解读首投70%升活跃;讨好型人格改掉首投60%升活跃;本轮无新候选词(XHS未连接无法收割),XHS未连接(Chrome扩展),全部网页来源;记忆库2677
2026-07-14,run2,11,2769,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试职业规划怎么说+面试反问+面试活人感,"Chrome扩展未连接(XHS未连接),全部网页来源;新候选3个(求职诈骗防范/DESC法则/反问送命题);无升降级;本轮高热精读样本:牛客深度长文《字节oc后回看松弛感》41赞",,,,
2026-07-14,run4,35,2844,职场表达+面试技巧+面试什么话该说+面试什么话不能说+3F倾听法(首投)+结论原因建议汇报公式(首投)+行为面试法(首投),"Chrome扩展未连接(XHS未连接),全部网页来源;3F倾听法/结论原因建议汇报公式/行为面试法三个候选首投命中率均70-90%,建议升级活跃;新候选1个(云雨伞汇报法-事实分析行动模型);种子词职场表达因当日第4轮重复搜索已趋近完全饱和(10%);无退休",,,,
2026-07-15,run1,8,53,25,2868,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试没通过的信号+招聘黑话解读+云雨伞汇报法(二投)+求职诈骗防范(首投),"Chrome扩展未连接(XHS未连接,连续第5天),全部网页来源;云雨伞汇报法90%/求职诈骗防范100%双双升级活跃;职场表达换源后回升至80%;面试没通过的信号/招聘黑话解读均0%(暂不降级);标签修正3词(3F倾听法/结论原因建议汇报公式/行为面试法候选→活跃);本轮无新候选词(XHS未连接无法拓展);记忆库累计2868",,
2026-07-16,run1,8,138,44,3004,职场表达+面试技巧+面试什么话该说+面试什么话不能说+职场强势表达(复查)+职场委婉表达(复查)+面试怎么有交流感(首投)+去面试要问清楚哪些问题(首投),"Chrome扩展未连接(XHS未连接,连续第9天),全部网页来源;面试怎么有交流感首投50%升活跃;去面试要问清楚哪些问题首投60%升活跃;职场强势表达60%/职场委婉表达40%维持活跃;种子词切换查询角度后明显回升(面试技巧40%/职场表达37%,创近5天新高);面试什么话该说10%/面试什么话不能说17%延续低位;新候选2个(技术面试技巧/职场沟通模型合集);记忆库累计3004",,
2026-07-17,run2,6,60,25,3300,已登录连接正常,0,否,"4种子+职业规划(活跃复查)+简单大气的自我介绍(候选二投,53.8%升活跃);首次抓到真实note级explore链接(含xsec_token);新发现6候选词;网页搜索仅2次(补种子/面试什么话不能说),高度饱和(仅2条新)"
2026-07-17,run3,8,204,56,3356,已登录连接正常,0,否,"4种子(职场表达/面试技巧/面试什么话该说/面试什么话不能说,web新角度+XHS综合排序)+甩锅话术(活跃复查)+面试配得感(活跃复查)+面试礼仪(候选首投,54%升活跃)+结构化面试答题框架(候选首投,65%升活跃,本轮最高命中率);新发现6候选词(结构化面试100题/面试头发怎么扎/不背锅的文案/hr透露面试问题/结构化面试对练/国企面试礼仪);高热结构:含诊断分支的具体化caption(区分纵向分层/横向展开两种失败模式)命中率明显高于纯模板下载引流帖;种子词经同日三轮运行后命中率普遍降至8-20%区间,建议run4起种子词降频或大幅切换角度"
2026-07-18,run1,8,233,43,3434,已登录连接正常,0,否,"4种子+结构化面试答题框架(活跃复查)+面试礼仪(活跃复查)+结构化面试100题(候选首投,40%升活跃)+AI面试(候选首投,39.3%升活跃);当日首轮种子词命中率6.7-10.7%均高于07-17各轮收官水平;新发现6候选词(ai模拟面试工具/结构化面试礼仪/面试时的肢体动作/面试进屋礼仪/面试怎么积累素材/反应慢不会接话怎么办);高热结构:ChatGPT Mock面试第一人称具体操作+可验证结果案例再次验证""具体细节驱动转化""规律;面试礼仪同一低热样本(357赞再出发)跨日(07-17→07-18)二次验证抽象空洞caption雷区"
2026-07-18,run2,8,241,47,3481,已登录连接正常,0,否,"4种子(职场表达27.3%/面试技巧0%/面试什么话该说0%/面试什么话不能说4%,种子同日第二轮run1之后明显饱和)+视频面试技巧(活跃复查,10%,3新/30抓)+面试说错话补救技巧(活跃复查,41.4%,12新/29抓)+群面一般会留下几个人(活跃复查,37.1%,13新/35抓,""群面感觉是这样的""9.3万赞本轮最高)+反应慢不会接话怎么办(候选首投,40%,12新/30抓,升活跃)+职场表达能力训练(候选首投,10.3%,3新/29抓,未达40%阈值,标注候选已试投);新发现8候选词(线上面试穿什么衣服/视频面试常见问题/工作中说错话了怎么补救/字节群面一般会留下几个人/反应慢没情商咋办/结构化表达三步法/职场常用语/面试时不该说的词);高热结构:泰式香锅""到底谁发明的群面""短视频反应体+6个标签导流(4893赞)验证秋招情绪化vlog结构假设;get_page_text再次误抓评论区(到底谁发明的群面笔记)，已用screenshot交叉验证补救;种子词面试技巧/面试什么话该说本轮0新增,连续两轮(run1+run2)饱和,建议run3起大幅切换检索角度"
2026-07-19,run2,8,213,93,3765,已登录连接正常,0,否,"4种子(职场表达9新/24抓37.5%+面试技巧5新/24抓20.8%+面试什么话该说6新/28抓21.4%+面试什么话不能说13新/36抓36.1%,种子在00点run1之后重新用time_descending排序发现较多新发笔记)+职场口才训练(活跃复查,10新/26抓38.5%)+结构化面试100题(活跃复查,15新/25抓60%,本轮最高)+面试反杀面试官(候选二投,19新/27抓70.4%,升级活跃(候选首投升级-2026-07-19))+结构化面试三步破题法(候选二投,16新/24抓66.7%,升级活跃(候选首投升级-2026-07-19));新发现8候选词(面试破题技巧/反套路面试/面试反杀技巧/职场口才训练方法/综合分析题如何破题/面试注意什么/面试自我介绍技巧/面试被面试官嘲讽了);高热结构:""不说A而是说B""对比清单体职场话术(领导话术原则3719赞)持续验证清单体框架高热;低热雷区:视频类反应体笔记若无具体可复制话术仅靠反杀噱头(如""面试官画饼我的反杀让他沉默了""2赞)信息量薄弱,与07-18结论一致;图文轮播笔记(如结构化面试笨办法系列,2.1万赞)正文为图片无法用get_page_text直接提取,已知限制;无退休词,记忆库累计3765"
2026-07-20,run1,91,4049,职场表达+面试技巧+面试什么话该说+面试什么话不能说+职场委婉表达(活跃复查)+结构化表达(活跃复查)+如何自信表达(活跃复查)+技术面试技巧(候选首投),已登录连接正常,0,否,"4种子(职场表达10.9%/面试技巧6.0%/面试什么话该说4.0%/面试什么话不能说6.0%,隔1天复查普遍4-11%低位)+职场委婉表达(活跃,50.0%,本轮最高)+结构化表达(活跃,32.7%)+如何自信表达(活跃,48.9%)+技术面试技巧(候选首投,30.6%,未达40%阈值标注已试投);新发现候选词2个(情景模拟面试/如何进行技术面试);高热结构:书单体清单体在自信表达赛道再次验证高热(如何锻炼输出表达能力1.4万赞);低热雷区新发现:账号体量可能是比标题/结构更根本的热度决定因素(如何结构化表达3赞样本已排除发布时间过短和内容密度不足两变量);口播视频体在结构化表达赛道达18万赞量级但正文抓取仍是盲区;无退休词",
2026-07-20,run3,35,4172,职场表达+面试技巧+面试什么话该说+面试什么话不能说+面试反问(活跃复查)+hr问题(活跃复查)+离职原因怎么说(活跃复查)+面试成功的征兆(候选首投),已登录连接正常,0,否,"4种子(网页搜索侧当日第三轮跳过,仅XHS复查:职场表达5.4%/面试技巧0%/面试什么话该说0%/面试什么话不能说5.0%,验证'无新网页角度时XHS复查边际收益趋近于零');面试反问10.0%(3新/30抓)+hr问题28.9%(13新/45抓,过滤剔除7条AIHR职业向噪声,本轮最高但需警惕内容漂移)+离职原因怎么说26.7%(12新/45抓,供给充沛)+面试成功的征兆候选首投14.3%(4新/28抓,未达40%阈值,已试投);新发现候选词8个(面试自我介绍不能透露个人信息/结构化面试万能金句/hr终面一般问什么/三面hr面一般会问什么/离职原因回答模版/hr问上一份工作离职原因/一面反问面试官问题/职场高情商表达);高热结构:数字征兆清单体在面试成功的征兆赛道第三次验证账号体量优先于标题结构假设(置信度提升至高);无退休词,无升级",
2026-07-31,run2,8,177,14,4913,已登录连接正常,0,否,"运行日志此前从2026-07-20断流到今天，本行是恢复后的第一行；本轮为2026-07-31第2轮(run2)，4种子(职场表达8.7%/面试技巧5.0%/面试什么话该说0%完全饱和/面试什么话不能说5.0%,同日run1后二次复查边际收益普遍走低)+2活跃复查(面试反问5.0%/离职原因怎么说19.2%,距上次运行07-20隔11天)+2候选首投(外包谈薪5.0%/主动提问10.7%,均未达40%升级阈值不升级,且经复核两词均存在关键词语义与主题偏离问题[外包谈薪约75%结果为外包员工薪资吐槽而非谈薪话术,主动提问约70%结果为AI提示词/社交话题],建议不再原样复投);新发现候选词6个(面试的反问环节/可以反问面试官的问题/面试你还有什么想问的吗/体面的离职理由/面试说了不该说的话怎么办/外包hr谈薪);无升级无退休;重要方法论修复:本轮初期按read_page(笔记ID列表)与get_page_text(标题列表)两次独立调用按位置顺序配对,一度误判40余条为新增,经标题精确字符串复核后确认真实新增仅14条(XHS9+web5),避免向记忆库写入约27条错配数据,详见高热结构库.md;关键词池类型列本次新增候选词严格只写""候选""二字,未再使用""候选(新发现)""违规写法;小红书登录状态已现场核实(个人主页可正常访问,账号Eric｜AI副业轻资产搞钱);本次未做全池退休扫描,建议下次运行安排一次专门的存量候选/活跃词退休复核"
2026-07-31,run3,8,208,36,4949,已登录连接正常,0,否,"4种子(职场表达7.7%/面试技巧0%完全饱和/面试什么话该说3.8%/面试什么话不能说3.7%,同日第3轮复查边际收益趋近于零)+2长空档活跃复查(个人工作汇报话术距07-01隔30天40.0%本轮最高/面试肢体语言距07-02隔29天34.6%)+2候选首投(面试官问缺点应该怎么回答22.2%/克服面试紧张11.5%,均未达40%阈值不升级);新增36条(XHS32+web4);新发现候选词5个(面试视频/面试官自我介绍/面试不能透露个人信息/述职话术模板/面试怯场急救包,经近义去重后从约63个原始短语收窄);无升级;本轮实际退休3个存量候选(高情商表达/反PUA话术/100句高情商话术,均因内容主题偏离职场面试核心经历史多轮验证确认,响应每周退休2-3个的池子管理要求);同时完成一次全池类型字段规范化清理(285处历史违规写法如候选(新发现)/活跃(候选首投升级-2026-07-19)等归一为种子/活跃/候选/退休四值标准写法);高热结构:对比清单体(普通表达vs高管感表达)持续验证为职场表达赛道高热结构(置信度高);图文轮播/短视频正文抓取盲区持续存在(6.4万赞黄豆酱SILVIA帖仅可见谦逊开场字幕);记忆库累计由4913条增至4949条"
2026-07-31,run4,8,161,25,4974,已登录连接正常,0,否,"4种子(职场表达0%完全饱和XHS侧/面试技巧0%完全饱和/面试什么话该说27.3%web换角度回升/面试什么话不能说6.7%)+2长空档活跃复查(线上面试话术距07-07隔24天11.1%/演讲开场白距07-06隔25天40.0%本轮最高)+2候选首投(面试破题技巧22.7%全部来自web侧结构化面试破题思路角度/职场口才训练方法12.0%全部来自XHS侧,均未达40%阈值不升级);新发现候选词6个(线上面试话术模板/面试破题金句/面试破题技巧模板/每日一练口才/100天口才训练打卡/职场口才表达培训);无升级无退休(本周已在run3完成3个退休,满足每周2-3个要求);重要发现:种子词XHS饱和不代表web饱和,web换角度查询仍为高度饱和种子词贡献7条新增(置信度中,首次观察);高热结构:方法教程体(如何成为一个逻辑清晰的人附训练2002赞)再验证为口才训练赛道稳定高热结构(置信度高,累计样本超10篇);新发现打卡系列体假设(说话磕磕巴巴没观点每天一篇新闻评述185赞,置信度低待验证);账号体量优先于标题结构假设累计第3个交叉样本(不会开场=演讲失败仅4赞),置信度提升至高;小红书登录状态已核实正常;记忆库累计由4949条增至4974条(新增25条,XHS6+web19)"
2026-08-01,run1,8,205,55,5029,已登录连接正常,0,否,运行日志此前从07-31run4断流到今天，本行为08-01第1轮；8词(4种子+2长空档活跃复查[高情商职场应对话术距07-02隔30天/职场漂亮话距07-03隔29天]+2候选首投[部门面试自我介绍/跳槽谈薪])；四种子深度饱和(6.2%/2.6%/17.4%/12.0%)，长空档活跃复查表现优异(58.1%/71.4%)再验证核心规律；部门面试自我介绍首投47.1%达阈值升级活跃，跳槽谈薪30.4%未达阈值维持候选；无种子升降级；本周尚未做全池退休扫描，建议下次运行安排；词库验证5个长句，4个已验证(谈薪HR说预算就这么多怎么回/晋升答辩数据来源被追问怎么答/晋升答辩被评委问倒怎么办/答辩PPT讲到一半被打断怎么办)、1个放弃(绩效面谈被打低分怎么开口，因竞争已成熟)；新发现候选词18个(短词8+长句10)；首次建立评论区原话.csv并收割2条真实用户原话；高热结构库新增'同标题不同账号热度悬殊'第4次交叉样本(置信度高)及'以柔克刚式话术优于纯软话术'新观察(置信度中)；小红书登录状态已核实正常，账号Eric｜AI副业轻资产搞钱
