时间,战场,目标链接,对方原话,发出内容,场景,概念,正文术语,状态,存活校验,备注
2026-08-21T19:38:03,首评,https://www.xiaohongshu.com/explore/6a7bd3d0000000002201774f?xsec_token=ABn6XPCZyZkYhgRatqJhrFvxgnCYTym22UT0c7azVKpjo%3D&xsec_source=pc_user,,你是A、B还是C？回个字母，A我发你追问的第二句，B发你判据怎么定，C发你当场要留哪两样。,,,,已发送,,评论数 0→1
2026-08-21T19:45:19,首评,https://www.xiaohongshu.com/explore/6a7bd4760000000025003314?xsec_token=ABn6XPCZyZkYhgRatqJhrFv6zpwrsxYyBA4HhYI85h518%3D&xsec_source=pc_user,,A 一直动、B 端着不敢松、C 松过头。回字母，B和C的第一步收法不一样，我马上发你。,,,,已发送,,评论数 0→1
2026-08-22T19:34:12,首评,https://www.xiaohongshu.com/explore/6a7a82500000000022012577?xsec_token=ABLxC1Tajcx1GefrLHRbFgHyIiRADNB0TjsIAOTwJ9-Nc%3D&xsec_source=pc_user,,你手里是 A、B 还是 C？回个字母就行。A 我告诉你到点还没回该转向谁，B 和 C 我发你第一句怎么说。,,,,已发送,,评论数 2→3
2026-08-22T19:49:19,首评,https://www.xiaohongshu.com/explore/6a7931180000000024025598?xsec_token=ABWUsBGf8b-02LLK4oplN-X4bQU_K2ft-fQPNQAr-nF2I%3D&xsec_source=pc_user,,A 问出处，B 要结论，C 不同意方向，你那次是哪个？回个字母，我把那句话怎么接给你发过去。,,,,已发送,,评论数 0→1
2026-08-23T19:34:35,首评,https://www.xiaohongshu.com/explore/6a8a54e4000000003a02cf91?xsec_token=ABPTZR7GAwfBWNZUldxa8rXV7FONeRchTcOz4hVHlqUO8%3D&xsec_source=pc_user,,A 负面事实、B 短跳空窗、C 说不出口——回个字母，我按你的情况给你下一句怎么接，追问也不慌。,,,,已发送,,评论数 0→1
2026-08-23T19:47:29,首评,https://www.xiaohongshu.com/explore/6a8a5496000000001402739d?xsec_token=ABPTZR7GAwfBWNZUldxa8rXWa4e08c-PRbMK-0jQF1mog%3D&xsec_source=pc_user,,A 还是 B 还是 C，回个字母，我把那句话原封不动发你，照抄就行。,,,,已发送,,评论数 0→1
2026-08-24T19:43:03,首评,https://www.xiaohongshu.com/explore/6a8ba668000000000b024b10?xsec_token=AB1RdhG0RT5YBgoEy4Y6kn48aJxjbirVmKpuAToQATOLk%3D&xsec_source=pc_user,,卡哪种直接回字母：A空白 B绕回去了 C真没做过。对应给你那句接话或报时说法，不啰嗦。,,,,已发送,,评论数 1→2
2026-08-24T19:53:03,首评,https://www.xiaohongshu.com/explore/6a8ba61a000000002b002234?xsec_token=AB1RdhG0RT5YBgoEy4Y6kn4yTcaQ2KP7bMBp-7YR4oWgs%3D&xsec_source=pc_user,,"A 不知道说什么、B 被顶回去、C 深挖露馅——回个字母，对应那句""长出第二个问题""的原话我直接甩给你。",,,,已发送,,评论数 0→1
2026-08-26T19:43:24,首评,https://www.xiaohongshu.com/explore/6a8cf7ad00000000160082be?xsec_token=ABMiEqPSXvRNMp0APgXuolPPqJK3NT399XpE5ex0mYt3c%3D&xsec_source=pc_user,,你是A还是B还是C？回个字母，给你对应那句怎么接。,,,,已发送,,评论数 0→1
2026-08-26T20:17:41,首评,https://www.xiaohongshu.com/explore/6a8cf75c0000000018018abc?xsec_token=ABMiEqPSXvRNMp0APgXuolPOzdf_C3hP78gsRnCn7bUGE%3D&xsec_source=pc_user,,A 发抖、B 声音颤、C 断片，回个字母，我把对应那句怎么开口发你,,,,已发送,,评论数 0→1
2026-08-26T20:32:16,首评,https://www.xiaohongshu.com/explore/6a8cf7fd000000002a025676?xsec_token=ABMiEqPSXvRNMp0APgXuolPDt7o731qh0PcQxHFQudyqY%3D&xsec_source=pc_user,,你是A还是B还是C？回个字母，给你对应那句怎么接。,,,,已发送,,评论数 0→1
2026-08-27T19:37:57,首评,https://www.xiaohongshu.com/explore/6a8f9a560000000029034f6f?xsec_token=ABjuY1Zi--2JFeWtvQ_1brmglkA6k66qCriTeS9QXIV-I%3D&xsec_source=pc_user,,A还没到点、B已经过了没说变卦、C问过一次答案更模糊——回个字母，对应那句该怎么问我直接给你。,,,,已发送,,评论数 0→1
2026-08-27T19:49:26,首评,https://www.xiaohongshu.com/explore/6a8ee46c000000002003c4a9?xsec_token=ABvCPVeBtHQL2Q8EfIDVxLf1IbtC9BcOWxFSwMnTqfWAU%3D&xsec_source=pc_user,,A是碎活型，B是背锅型，C是踩坑型，回个字母，对应那句怎么说直接给你,,,,已发送,,评论数 0→1
2026-08-27T19:55:28,首评,https://www.xiaohongshu.com/explore/6a8f9aed000000000502ae27?xsec_token=ABjuY1Zi--2JFeWtvQ_1brmkeUtATkEfGWPlmamgf1N_o%3D&xsec_source=pc_user,,A表忠心 B贴范围 C全程听他说，你是哪种？回个字母，给你对应那句怎么接。,,,,已发送,,评论数 0→1
2026-08-28T19:43:38,首评,https://www.xiaohongshu.com/explore/6a90ebd4000000002503de59?xsec_token=ABa3gUrdmc6fe6SqG8xaD17Q5eyr_LkVnIONmO940yKX0%3D&xsec_source=pc_user,,"回A的，我把那句模板改成""数据/方法""专用版发你；回B或C的，对应版本一样奉上，挑一个字母就行。",,,,已发送,,评论数 0→1
2026-08-28T19:57:01,首评,https://www.xiaohongshu.com/explore/6a90ec8700000000200345f1?xsec_token=ABa3gUrdmc6fe6SqG8xaD17aGv3IHYUYbYCeKqmN0_qXc%3D&xsec_source=pc_user,,A临近念PPT、B念完被直接批、C被打断讲创新点，你是哪种？回字母，对应那句怎么接我给你写,,,,已发送,,评论数 0→1
2026-08-28T20:10:45,首评,https://www.xiaohongshu.com/explore/6a8f9aa3000000002a031dfd?xsec_token=ABjuY1Zi--2JFeWtvQ_1brmqRfndmB7zejfqhMmDKcMvI%3D&xsec_source=pc_user,,你是哪种，回个字母：A问住 B断片 C漏洞。回A给你脱口而出的垫场话，回B给下一层坐标，回C给不硬顶不认栽的那句。,,,,已发送,,评论数 0→1
2026-08-28T20:17:19,首评,https://www.xiaohongshu.com/explore/6a8f9b39000000002003ccef?xsec_token=ABjuY1Zi--2JFeWtvQ_1brmkiSXZhWYkyT6htLS9RNzm4%3D&xsec_source=pc_user,,"回A的，把你那句话整理成三行版直接甩HR；回B给你一个市场价对齐的说法；回C教你怎么把""稳定""包装成不可替代",,,,已发送,,评论数 0→1
2026-09-01T19:45:01,首评,https://www.xiaohongshu.com/explore/6a963c61000000002b0001c9?xsec_token=ABkmTjw4tJwdIGgWDK2OiGswRYehQiDScAPdp7W9lQWBU%3D&xsec_source=pc_user,,A是卡流程的？B是传话不找你的？C是有人造谣他信了的？回个字母，我把那句话原句发你。,,,,已发送,,评论数 0→1
2026-09-01T19:55:38,首评,https://www.xiaohongshu.com/explore/6a9631e800000000280283c6?xsec_token=ABkmTjw4tJwdIGgWDK2OiGs5641e4acUoLqlbbq__5cyE%3D&xsec_source=pc_user,,A是卡流程的？B是传话不找你的？C是有人造谣他信了的？回个字母，我把那句话原句发你。,,,,已发送,,评论数 0→1
2026-09-01T20:05:51,首评,https://www.xiaohongshu.com/explore/6a94e135000000000302875f?xsec_token=AB1CuMNPiDYR55RLtppHelykwDSbFCzqvVgK80yqO6qHU%3D&xsec_source=pc_user,,"回A的，评论区扣1，我把""当天补消息""那句话模板发你；是B或C的，回对应字母，我给你另外两种的具体说法。",,,,已发送,,评论数 0→1
2026-09-01T20:17:49,首评,https://www.xiaohongshu.com/explore/6a94e0960000000029034631?xsec_token=AB1CuMNPiDYR55RLtppHelylh1C2CgaeLPPcvOQk8Syac%3D&xsec_source=pc_user,,"A 我给你改写模板，B 给你一句可以直接套的风险表述，C 给你一个""结论先行+依据垫后""的两句式",,,,已发送,,评论数 0→1
2026-09-01T20:23:04,首评,https://www.xiaohongshu.com/explore/6a94e181000000001f007460?xsec_token=AB1CuMNPiDYR55RLtppHelyk0fb50c7SGQ6lz1CBJuz0s%3D&xsec_source=pc_user,,"A 抽活我给你那句""停手交接""话术的模板；B 造谣教你怎么当面截住不解释；C 考核我发年底对账怎么摆证据。回个字母。",,,,已发送,,评论数 5→6
2026-09-02T19:43:31,首评,https://www.xiaohongshu.com/explore/6a978358000000002b011576?xsec_token=AB6wmwlPF_CgsZXEUNPPQQs4WE0Axcw9rcdYyHtr4m3aA%3D&xsec_source=pc_user,,A 我发那三句开场模板给你，B 说明你那场根本靠临场反应不靠稿，C 说明创新点没说清才被打断，回字母就行,,,,已发送,,评论数 0→1
2026-09-02T19:54:23,首评,https://www.xiaohongshu.com/explore/6a9784250000000027015d75?xsec_token=AB6wmwlPF_CgsZXEUNPPQQs9wQjIezly1RgCULXKKEPbo%3D&xsec_source=pc_user,,A结构复杂，B流水卡壳，C压价卡涨幅，你是哪个？回个字母，我把对应第一句话原句甩你,,,,已发送,,评论数 3→4
2026-09-02T20:05:17,首评,https://www.xiaohongshu.com/explore/6a97846f000000000b00dbe9?xsec_token=AB6wmwlPF_CgsZXEUNPPQQs2FEp60KUSCdbX0B5kwnUxg%3D&xsec_source=pc_user,,A/B/C 哪个是你？回个字母，我把那一类开场白第一句怎么说发你。,,,,已发送,,评论数 3→4
2026-09-02T20:14:52,首评,https://www.xiaohongshu.com/explore/6a94e04b000000002503eb7d?xsec_token=AB1CuMNPiDYR55RLtppHelyhj64TP-qqVIynmbmt6GOQg%3D&xsec_source=pc_user,,A 是没数不知道放啥，B 是没目标全年被动，C 是有数不会归因。回个字母，我把那一页第一句话怎么开头发你。,,,,已发送,,评论数 0→1
2026-09-02T20:27:15,首评,https://www.xiaohongshu.com/explore/6a94e0ea000000002503a6ad?xsec_token=AB1CuMNPiDYR55RLtppHelyvMXYCQnwK-H_E8-zhJhHd0%3D&xsec_source=pc_user,,A 你把反问的话再说一遍我帮你改；B 说下你背的是啥我帮你看能不能接住；C 抖到忘稿子是常态，回C我发你怎么把第一句抢回来的模板,,,,已发送,,评论数 0→1
2026-09-03T19:43:51,首评,https://www.xiaohongshu.com/explore/6a98d4d4000000000b0037d5?xsec_token=ABi1Op_Jz6FeX87TBoiGd3sKf5BI4ocITRGAbtHb7qEBk%3D&xsec_source=pc_user,,A 你那句怎么说我给一版更狠的、B 加班这话我教你个不显怂的说法、C 空间类怎么说才不像在编，回字母就发你,,,,已发送,,评论数 0→1
2026-09-03T19:56:45,首评,https://www.xiaohongshu.com/explore/6a9783a8000000002601f67b?xsec_token=AB6wmwlPF_CgsZXEUNPPQQs7CyCHfAcGXHr3fhaHObccw%3D&xsec_source=pc_user,,A/B/C 选一个，我把对应那句开场白原句发你，直接抄改都行。,,,,已发送,,评论数 0→1
2026-09-03T20:06:40,首评,https://www.xiaohongshu.com/explore/6a938f700000000029028fe5?xsec_token=ABTfaZIgN4lV2AGvRyHnKKU0eVxsBFuKdVR6mgylofjFo%3D&xsec_source=pc_user,,"A 我给你改个能直接用的自我介绍开头；B 回A句""我把那部分数据重做""这种事，我教你怎么补；C 那句反问原话我发你，照说就行。",,,,已发送,,评论数 0→1
2026-09-03T20:18:35,首评,https://www.xiaohongshu.com/explore/6a938fbf00000000290290a1?xsec_token=ABTfaZIgN4lV2AGvRyHnKKU8BYogrPoIB_LbLYVjOWGk4%3D&xsec_source=pc_user,,A 你当场没接上话、B 怼回去他还接着说、C 他不当面说光在旁边阴阳你，回个字母，我把对应的第一句话原句发你,,,,已发送,,评论数 0→1
2026-09-03T20:26:37,首评,https://www.xiaohongshu.com/explore/6a938f22000000000302a10e?xsec_token=ABTfaZIgN4lV2AGvRyHnKKUyKdobWzb5ssoWAp_VvhAok%3D&xsec_source=pc_user,,A 拖交接、B 卡社保公积金、C 年终奖没发就来新offer，回个字母，我把对应第一句话怎么说给你,,,,已发送,,评论数 0→1
2026-09-04T19:34:43,首评,https://www.xiaohongshu.com/explore/6a9ab8c9000000002601aa74?xsec_token=AB3RmCgCmH_-HGYd90WQ9qx9UJAgyfbMj3SYLHNeFNh8Q%3D&xsec_source=pc_user,,B 最典型，一半人卡这儿。回B我给你三件事怎么挑的具体标准，照着填就行。,,,,已发送,,评论数 0→1
2026-09-04T19:45:17,首评,https://www.xiaohongshu.com/explore/6a9a273c000000000b0376f8?xsec_token=AB3RmCgCmH_-HGYd90WQ9qx-DqnieD2bD7CoSErSxEtvw%3D&xsec_source=pc_user,,"A的话我发那句开口的原话模板，B的话给你补一句""口径变了怎么先确认""的问法，C给你一句把谈话逼出排期的话。回个字母。",,,,已发送,,评论数 0→1
2026-09-04T19:51:47,首评,https://www.xiaohongshu.com/explore/6a9a269d0000000029018104?xsec_token=AB3RmCgCmH_-HGYd90WQ9qx6tm7ldxWf4d0PtpmcJ_xu0%3D&xsec_source=pc_user,,回A的我把那句话的完整版发你，B和C的先说哪句让你卡住了，我给你改个能说出口的版本。,,,,已发送,,评论数 0→1
2026-09-04T20:01:02,首评,https://www.xiaohongshu.com/explore/6a9a2651000000000b000257?xsec_token=AB3RmCgCmH_-HGYd90WQ9qx0W5-GZib9sdPGyx2CcUAno%3D&xsec_source=pc_user,,"回A的，我把""岗位对不上""这句该怎么解释发你；回B的，给你那句""没给交""的原话模板；回C的，先别慌，这个得单独说。",,,,已发送,,评论数 0→1
2026-09-04T20:09:48,首评,https://www.xiaohongshu.com/explore/6a9a26eb00000000290181cf?xsec_token=AB3RmCgCmH_-HGYd90WQ9qx4R_sfe0SFjGd5BNC4UkfM4%3D&xsec_source=pc_user,,A 我帮你说这句怎么问才不像查他；B 我告诉你怎么把话题拉回来自己问；C 我帮你判断该不该追，给你一句追问模板,,,,已发送,,评论数 0→1
