成稿文件,发布标题,话题类别,角度是否声明,口径,标题模式,总分,选题,标题分,首图,开头,正文,可信度,CTA,是否用quote金句,卡片数,卡片type序列,观看,点赞,收藏,评论,分享,搜索来源占比,收藏率,互动率
成稿_2026-08-08_刚换领导他在给你建档.md,刚换领导汇报对不上，他在定盯你多紧,入职适应期·空降与新领导磨合,未声明,搜索流,其他,85,17,17,15,9,11,11,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",36,0,1,0,0,,0.028,0.028
成稿_2026-08-08_同一道题两个答案.md,hr面和业务面区别，同一道题两个答案,求职期·行为面试,未声明,搜索流,数字悬念,86,18,17,15,8,12,12,4,是,7,"cover,scene,contrast,quote,why,formula,boundary",73,0,0,0,0,,0.0,0.0
成稿_2026-08-08_新领导空降先给你贴标签.md,新领导空降，他手上没有你的过去,入职适应期·空降与新领导磨合,未声明,搜索流,认知反转/反常识,90,18,17,15,9,13,13,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",32,1,2,0,0,,0.062,0.094
成稿_2026-08-08_被说像背的不是背得不熟.md,面试回答被说像背的，他不是嫌你不熟,求职期·行为面试,未声明,搜索流,认知反转/反常识,88,16,18,15,10,13,12,4.5,是,7,"cover,scene,contrast,quote,why,formula,boundary",44,2,0,0,0,,0.0,0.045
成稿_2026-08-08_还没毕业他在算到岗日期.md,还没毕业去面试，他在算你哪天能到岗,求职期·行为面试,未声明,搜索流,认知反转/反常识,87,16,19,15,9,12,11,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",84,2,1,0,0,,0.012,0.036
成稿_2026-08-08_面试感谢不是礼貌问题.md,面试时说感谢，他记的不是你的礼貌,求职期·行为面试,未声明,搜索流,认知反转/反常识,87,17,17,15,9,12,12,5,是,7,"cover,scene,contrast,quote,why,formula,boundary",163,1,0,0,0,,0.0,0.006
成稿_2026-08-09_一把手先看你归谁管.md,找单位一把手说晋升，他先想的是谁在管你,关键节点·晋升答辩,未声明,搜索流,认知反转/反常识,88,17,18,15,8,7,13,10,是,7,"cover,scene,why,contrast,quote,formula,boundary",954,10,10,1,0,0.6%,0.01,0.022
成稿_2026-08-09_汇报被打断.md,汇报被领导打断，未必是你讲砸了,日常协作·向上汇报,未声明,搜索流,认知反转/反常识,87,16,16,15,10,7,14,9,是,7,"cover,scene,contrast,quote,why,formula,boundary",60,1,2,0,0,,0.033,0.05
成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分，第一句问为什么就输了,关键节点·绩效面谈,未声明,搜索流,细节震撼,86,15,18,15,8,7,13,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",107,0,0,2,0,,0.0,0.019
成稿_2026-08-09_面试结果他不回未必是拒绝.md,礼貌询问面试结果，他不回多半不是拒绝你,求职期·行为面试,未声明,搜索流,认知反转/反常识,87,15,19,15,9,7,12,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",361,0,1,2,0,49%,0.003,0.008
成稿_2026-08-11_微信问结果越客气越不回.md,微信问面试结果，越客气他越不回,求职期·行为面试,未声明,搜索流,常识颠覆,81,15,19,11,8,6,12,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",151,0,0,1,1,,0.0,0.013
成稿_2026-08-11_汇报被打断.md,汇报被领导打断，多半不是他没耐心,日常协作·向上汇报,未声明,搜索流,认知反转/反常识,86,15,19,15,10,5,12,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",61,2,2,0,0,,0.033,0.066
成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分，坐你对面的未必能改分,关键节点·绩效面谈,未声明,搜索流,认知反转/反常识,86,15,17,15,9,7,13,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",104,0,1,0,0,1%,0.01,0.01
成稿_2026-08-11_职场万用术对领导会翻车.md,职场万用术，对领导用会被记成刺头,日常协作·日常表达力通识,未声明,搜索流,常识颠覆,85,15,18,12,9,8,13,10,是,7,"cover,scene,contrast,quote,why,formula,boundary",38,0,0,0,0,,0.0,0.0
成稿_2026-08-11_面试肢体语言练过头.md,面试肢体语言，他扣分的是你多做的动作,求职期·行为面试,未声明,搜索流,认知反转/反常识,86,18,17,11,9,9,14,8,是,7,"cover,scene,contrast,quote,why,formula,boundary",51,0,0,0,0,,0.0,0.0
成稿_2026-08-12_HR面试薪酬谈判别再套模板.md,HR面试薪酬谈判，反问预算会被判成海投,求职期·行为面试,未声明,搜索流,常识颠覆,85,19,21,17,12,7,-,9,是,7,"cover,scene,contrast,quote,why,formula,boundary",58,0,0,0,0,,0.0,0.0
成稿_2026-08-13_答辩被打断评委问的根本不是项目本身.md,答辩被打断，评委问的根本不是项目本身,关键节点·晋升答辩,未声明,搜索流,认知反转/反常识,63,11,18,15,8,5,-,6,是,7,"cover,scene,contrast,quote,formula,why,boundary",13,0,0,1,0,,0.0,0.077
成稿_2026-08-14_面试前没看到这些话术.md,面试前没看到这些话术，面试官早听腻了,求职期·行为面试,未声明,搜索流,常识颠覆,86,18,21,18,13,7,-,9,是,7,"cover,scene,contrast,quote,why,formula,boundary",65,1,1,0,0,,0.015,0.031
成稿_2026-08-15_离职原因不想编.md,离职原因不想编，HR核的从来不是理由,求职期·离职原因解释,未声明,搜索流,认知反转/反常识,86,30,28,9,6,8,-,5,否,7,"cover,scene,contrast,quote,why,formula,boundary",186,3,2,1,2,,0.011,0.043
成稿_2026-08-15_面试话术太学生气.md,面试话术太学生气，他问不出第二个问题,求职期·行为面试,未声明,搜索流,细节震撼,93,32,30,9,8,9,-,5,否,7,"cover,scene,contrast,quote,why,formula,boundary",65,3,2,1,0,,0.031,0.092
成稿_2026-08-17_面试官看出能力差.md,面试官看出能力差，读的是你卡住那几秒,求职期·行为面试,已声明,搜索流,细节震撼,81,26,28,8,6,8,-,5,是,7,"cover,quote,formula,contrast,why,boundary,boundary",168,1,2,2,0,,0.012,0.03
