日期,成稿文件,标题,闸门,预填,定时,发布,笔记链接,备注
2026-08-03 23:10,成稿_2026-08-02_结构化面试不能说.md,结构化面试什么不能说,✅ 通过,✅,2026-08-04 12:00,— dry-run 未点发布,,"预填完成；本次将用的时段是 2026-08-04 12:00（轮换池 [9, 11, 12, 17, 18, 20, 22]）"
2026-08-03 23:11,成稿_2026-08-03_答辩讲一半被打断.md,答辩PPT讲到一半被打断怎么办,✅ 通过,✅,2026-08-04 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-04 00:13 北京时间
2026-08-05 01:20,成稿_2026-08-04_汇报被打断不是没耐心.md,汇报被领导打断，多半不是他没耐心,✅ 通过,✅,2026-08-05 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-05 02:22 北京时间
2026-08-05 01:36,成稿_2026-08-04_汇报被打断不是没耐心.md,汇报被领导打断，多半不是他没耐心,✅ 通过,✅,2026-08-05 01:30,✅ 人工确认已定时 2026-08-05 01:30,https://www.xiaohongshu.com/explore/6a72ca810000000032033527,词库无匹配关键词（标题「汇报被领导打断，多半不是他没耐心」），发布日未回填
2026-08-05 23:13,成稿_2026-08-05_干最多的常被刷.md,晋升答辩有可能不过，被刷的常是干最多的,✅ 通过,✅,2026-08-06 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 00:15 北京时间
2026-08-05 23:51,成稿_2026-08-05_干最多的常被刷.md,晋升答辩有可能不过，被刷的常是干最多的,✅ 通过,✅,2026-08-06 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 00:52 北京时间
2026-08-06 00:34,成稿_2026-08-05_辛苦了是不是暗示没戏.md,面试官说辛苦了，别急着当成判决书,—,—,,✅ 人工标记已发布,https://www.xiaohongshu.com/explore/6a740c1f0000000032023745,在成稿预览页人工标记；词库无匹配关键词（标题「面试官说辛苦了，别急着当成判决书」），发布日未回填
2026-08-06 22:08,成稿_2026-08-02_空降前30天.md,空降新老板前30天怎么站稳,✅ 通过,✅,2026-08-07 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:10 北京时间；自动选时间：❌ ⛔ 日历面板没能打开
2026-08-06 22:09,成稿_2026-08-04_第三轮不再看能力.md,第三轮hr面试他不再看能力，改看这个,✅ 通过,✅,2026-08-07 11:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:10 北京时间；自动选时间：❌ ⛔ 日历面板没能打开
2026-08-06 22:25,成稿_2026-08-02_空降前30天.md,空降新老板前30天怎么站稳,✅ 通过,✅,2026-08-07 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:27 北京时间；自动选时间：❌ ✅ 时间已设为 2026-08-07 09:00 / ⛔ 找不到「定时发布」按钮
2026-08-06 22:26,成稿_2026-08-04_第三轮不再看能力.md,第三轮hr面试他不再看能力，改看这个,✅ 通过,✅,2026-08-07 11:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:27 北京时间；自动选时间：❌ ✅ 时间已设为 2026-08-07 11:00 / ⛔ 找不到「定时发布」按钮
2026-08-06 22:30,成稿_2026-08-02_空降前30天.md,空降新老板前30天怎么站稳,✅ 通过,✅,2026-08-07 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:31 北京时间；自动选时间：❌ 点了「发布笔记」，当前 URL：https://creator.xiaohongshu.com/publish/publish?source=official&from=menu&target=video / ⛔ 等了 12 秒页面仍停在发布页 —— 判定未发布成功，退出码 1。
2026-08-06 22:31,成稿_2026-08-04_第三轮不再看能力.md,第三轮hr面试他不再看能力，改看这个,✅ 通过,✅,2026-08-07 11:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-06 23:32 北京时间；自动选时间：❌ 点了「发布笔记」，当前 URL：https://creator.xiaohongshu.com/publish/publish?source=official&from=menu&target=video / ⛔ 等了 12 秒页面仍停在发布页 —— 判定未发布成功，退出码 1。
2026-08-06 22:37,成稿_2026-08-06_绩效被打低分.md,绩效面谈被打低分，他给的未必是理由,✅ 通过,✅,2026-08-07 10:36,✅ 实际立即发布（非定时）,https://www.xiaohongshu.com/explore/6a7544a2000000002c001b3c,已回填词库「绩效面谈被打低分怎么开口」（笔记链接待人工补）；⚠️ 更正：原记 09:00 是本机时区口径，填进日历时北京已 10:30，时间在过去 → 小红书直接立即发布，后台实际 10:36。时区 bug 已修（BEIJING）
2026-08-06 22:37,成稿_2026-08-02_空降前30天.md,空降新老板前30天怎么站稳,✅ 通过,✅,2026-08-07 11:00,✅ 全自动已定时 2026-08-07 11:00,https://www.xiaohongshu.com/explore/6a754510000000003301bd5a,已回填词库「空降新老板前30天怎么站稳」（笔记链接待人工补）
2026-08-07 22:00,成稿_2026-08-04_第三轮不再看能力.md,第三轮hr面试他不再看能力，改看这个,✅ 通过,✅,2026-08-08 12:00,✅ 全自动已定时 2026-08-08 12:00,https://www.xiaohongshu.com/explore/6a768dd0000000002c00452b,已回填词库「第三轮hr面试一般会问什么」（笔记链接待人工补）
2026-08-07 22:01,成稿_2026-08-04_领导不回三种情况.md,领导不回消息的三种情况，追问方式完全不同,✅ 通过,✅,2026-08-08 18:00,✅ 全自动已定时 2026-08-08 18:00,https://www.xiaohongshu.com/explore/6a768e1a0000000022013a94,已回填词库「领导不回消息该不该追问」（笔记链接待人工补）
2026-08-07 22:02,成稿_2026-08-05_孤立多半领导默许.md,职场被孤立，领导比你更早知道,✅ 通过,✅,2026-08-09 09:00,✅ 全自动已定时 2026-08-09 09:00,https://www.xiaohongshu.com/explore/6a768e6400000000210232a4,已回填词库「职场被孤立怎么办」（笔记链接待人工补）
2026-08-08 00:22,成稿_2026-08-05_干最多的常被刷.md,晋升答辩有可能不过，被刷的常是干最多的,✅ 通过,✅,2026-08-09 11:00,— dry-run 未点发布,,"预填完成；本次将用的时段是 2026-08-09 11:00（轮换池 [9, 11, 12, 17, 18, 20, 22]）"
2026-08-08 00:23,成稿_2026-08-05_干最多的常被刷.md,晋升答辩有可能不过，被刷的常是干最多的,✅ 通过,✅,2026-08-09 11:00,✅ 全自动已定时 2026-08-09 11:00,https://www.xiaohongshu.com/explore/6a76af86000000002201326d,已回填词库「晋升答辩有可能不过吗」（笔记链接待人工补）
2026-08-08 22:00,成稿_2026-08-06_总经理终面不吃范文.md,总经理终面，答得越像范文越先出局,✅ 通过,✅,2026-08-09 12:00,✅ 全自动已定时 2026-08-09 12:00,https://www.xiaohongshu.com/explore/6a77df4a0000000022016f3e,已回填词库「总经理终面一般会问什么」（笔记链接待人工补）
2026-08-08 22:01,成稿_2026-08-06_汇报被打断.md,汇报被领导打断，他要的从来不是解释,✅ 通过,✅,2026-08-09 18:00,✅ 全自动已定时 2026-08-09 18:00,https://www.xiaohongshu.com/explore/6a77df910000000022013321,已回填词库「汇报被领导打断怎么接」（笔记链接待人工补）
2026-08-09 22:00,成稿_2026-08-09_一把手先看你归谁管.md,找单位一把手说晋升，他先想的是谁在管你,✅ 通过,✅,2026-08-10 20:00,✅ 全自动已定时 2026-08-10 20:00,https://www.xiaohongshu.com/explore/6a7930cb0000000027022acc,已回填词库「找单位一把手说晋升话术」（笔记链接待人工补）
2026-08-09 22:01,成稿_2026-08-09_汇报被打断.md,汇报被领导打断，未必是你讲砸了（15 字 · 关键词完整 · 推翻的预设是「他打断我＝我讲砸了／我没说到重点,✅ 通过,✅,2026-08-11 09:00,✅ 全自动已定时 2026-08-11 09:00,,已回填词库「汇报被领导打断怎么接」（笔记链接待人工补）
2026-08-09 22:02,成稿_2026-08-09_绩效被打低分.md,绩效面谈被打低分，第一句问为什么就输了（推翻「问清楚为什么就能拿到答案」；悬念落在「那该问什么」）,✅ 通过,✅,2026-08-10 17:00,✅ 全自动已定时 2026-08-10 17:00,,已回填词库「绩效面谈被打低分怎么开口」（笔记链接待人工补）
2026-08-10 22:00,成稿_2026-08-09_面试结果他不回未必是拒绝.md,礼貌询问面试结果，他不回多半不是拒绝你,✅ 通过,✅,2026-08-11 18:00,✅ 全自动已定时 2026-08-11 18:00,https://www.xiaohongshu.com/explore/6a7a82500000000022012577,已回填词库「如何礼貌询问面试结果」（笔记链接待人工补）
2026-08-11 22:00,成稿_2026-08-11_绩效被打低分.md,绩效面谈被打低分，坐你对面的未必能改分,✅ 通过,✅,2026-08-12 20:00,✅ 全自动已定时 2026-08-12 20:00,https://www.xiaohongshu.com/explore/6a7bd3d0000000002201774f,已回填词库「绩效面谈被打低分怎么开口」（笔记链接待人工补）
2026-08-11 22:01,成稿_2026-08-11_职场万用术对领导会翻车.md,职场万用术，对领导用会被记成刺头,✅ 通过,✅,2026-08-13 09:00,✅ 全自动已定时 2026-08-13 09:00,https://www.xiaohongshu.com/explore/6a7bd428000000002402471a,已回填词库「职场万用术：你学会了吗？」（笔记链接待人工补）
2026-08-11 22:02,成稿_2026-08-11_面试肢体语言练过头.md,面试肢体语言，他扣分的是你多做的动作,✅ 通过,✅,2026-08-12 17:00,✅ 全自动已定时 2026-08-12 17:00,https://www.xiaohongshu.com/explore/6a7bd4760000000025003314,已回填词库「如何在面试中展示完美肢体语言」（笔记链接待人工补）
2026-08-13 22:00,成稿_2026-08-12_HR面试薪酬谈判别再套模板.md,HR面试薪酬谈判，反问预算会被判成海投,✅ 通过,✅,2026-08-14 18:00,✅ 全自动已定时 2026-08-14 18:00,https://www.xiaohongshu.com/explore/6a7e76d3000000002903126a,已回填词库「hr面试薪酬谈判有哪些技巧」（笔记链接待人工补）
2026-08-13 23:25,成稿_2026-08-13_答辩被打断评委问的根本不是项目本身.md,答辩被打断，评委问的根本不是项目本身,✅ 通过,✅,2026-08-14 20:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-14 00:27 北京时间；自动选时间：❌ ✅ 已选 14 号 / ⛔ 打开日历：没找到元素
2026-08-13 23:30,成稿_2026-08-13_答辩被打断评委问的根本不是项目本身.md,答辩被打断，评委问的根本不是项目本身,✅ 通过,✅,2026-08-14 20:00,✅ 全自动已定时 2026-08-14 20:00,https://www.xiaohongshu.com/explore/6a7e8c010000000025002577,已回填词库「答辩PPT讲到一半被打断怎么办」（笔记链接待人工补）
2026-08-14 22:00,成稿_2026-08-14_面试前没看到这些话术.md,面试前没看到这些话术，面试官早听腻了,✅ 通过,✅,2026-08-15 22:00,✅ 全自动已定时 2026-08-15 22:00,https://www.xiaohongshu.com/explore/6a7fc84b00000000270201a2,已回填词库「哭了为什么我面试前没看到这些话术」（笔记链接待人工补）
2026-08-15 22:00,成稿_2026-08-08_先确权再谈价.md,工作变多了谈薪，他先算的不是工作量,✅ 通过,✅,2026-08-17 09:00,✅ 全自动已定时 2026-08-17 09:00,https://www.xiaohongshu.com/explore/6a8119cd00000000330321a0,已回填词库「工作变多了如何谈薪」（笔记链接待人工补）
2026-08-16 12:18,成稿_2026-08-04_答辩问倒不考项目.md,晋升答辩被问倒，评委问的根本不是项目,✅ 通过,✅,2026-08-17 11:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-16 13:19 北京时间；自动选时间：❌ 点了「定时发布」，当前 URL：https://creator.xiaohongshu.com/publish/publish?source=official&from=tab_switch / ⛔ 等了 14 秒，URL 没变、标题也还在 —— 判定未发布成功，退出码 1。
2026-08-16 12:19,成稿_2026-08-06_面试不说名字不扣分.md,面试不能说名字，面试官等的是你怎么拒绝,✅ 通过,✅,2026-08-17 12:00,✅ 全自动已定时 2026-08-17 12:00,https://www.xiaohongshu.com/explore/6a81e3330000000033035e05,已回填词库「面试不能说名字」（笔记链接待人工补）
2026-08-16 12:20,成稿_2026-08-07_HR会通知你.md,HR说会通知你，被拒的从来不是这句,✅ 通过,✅,2026-08-17 20:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-16 13:22 北京时间；自动选时间：❌ 回读：定时发布 2026-08-17 13:00 北京时间 / ⛔ 回读对不上目标 2026-08-17 20:00 —— 不点发布，交给人处理。
2026-08-16 12:23,成稿_2026-08-07_HR会通知你.md,HR说会通知你，被拒的从来不是这句,✅ 通过,✅,2026-08-17 17:00,✅ 全自动已定时 2026-08-17 17:00,https://www.xiaohongshu.com/explore/6a81e41e000000003302e4e8,词库无匹配关键词（标题「HR说会通知你，被拒的从来不是这句」；成稿声明的词「hr没说等通知结果算是没戏了」不在词库里），发布日未回填
2026-08-16 12:24,成稿_2026-08-04_答辩问倒不考项目.md,晋升答辩被问倒，评委问的根本不是项目,✅ 通过,✅,2026-08-17 18:00,✅ 全自动已定时 2026-08-17 18:00,https://www.xiaohongshu.com/explore/6a81e4700000000028005b44,已回填词库「晋升答辩被评委问倒怎么办」（笔记链接待人工补）
2026-08-18 22:00,成稿_2026-08-07_不想转正先定哪天说.md,试用期不想转正，领导在意的不是理由,✅ 通过,❌,,— 未执行,,已打开创作平台（tab A0342B67…）；等待 20 秒仍找不到「上传图文」tab，页面结构可能已变
2026-08-18 22:22,成稿_2026-08-07_不想转正先定哪天说.md,试用期不想转正，领导在意的不是理由,✅ 通过,✅,2026-08-19 20:00,— dry-run 未点发布,,"预填完成；本次将用的时段是 2026-08-19 20:00（轮换池 [9, 11, 12, 17, 18, 20, 22]）"
2026-08-18 22:50,成稿_2026-08-07_不想转正先定哪天说.md,试用期不想转正，领导在意的不是理由,✅ 通过,✅,2026-08-19 20:00,✅ 全自动已定时 2026-08-19 20:00,https://www.xiaohongshu.com/explore/6a851a2f000000003300b474,已回填词库「试用期结束不想转正怎么跟领导说」（笔记链接待人工补）
2026-08-18 22:51,成稿_2026-08-07_空降后下属不服管.md,空降后下属不服管，他在等你兑现一件事,✅ 通过,✅,2026-08-20 09:00,✅ 全自动已定时 2026-08-20 09:00,https://www.xiaohongshu.com/explore/6a851a7b0000000033011f15,已回填词库「空降后下属不服管怎么办」（笔记链接待人工补）
2026-08-18 22:53,成稿_2026-08-07_空降跨部门卡的不是交情.md,空降后跨部门不配合，卡的不是交情,✅ 通过,✅,2026-08-19 17:00,✅ 全自动已定时 2026-08-19 17:00,https://www.xiaohongshu.com/explore/6a851ac8000000003300d40c,已回填词库「空降领导如何获得跨部门支持」（笔记链接待人工补）
2026-08-19 22:00,成稿_2026-08-08_刚换领导他在给你建档.md,刚换领导汇报对不上，他在定盯你多紧,✅ 通过,✅,2026-08-20 18:00,✅ 全自动已定时 2026-08-20 18:00,https://www.xiaohongshu.com/explore/6a865fd6000000002b0255de,已回填词库「刚换领导汇报节奏对不上」（笔记链接待人工补）
2026-08-19 22:01,成稿_2026-08-08_同一道题两个答案.md,hr面和业务面区别，同一道题两个答案,✅ 通过,✅,2026-08-20 22:00,✅ 全自动已定时 2026-08-20 22:00,https://www.xiaohongshu.com/explore/6a866026000000002100c8b6,已回填词库「hr面和业务面区别问的问题」（笔记链接待人工补）
2026-08-19 22:02,成稿_2026-08-08_想升职他先算谁接你的活.md,想升职找领导表达，他先算谁接你的活,✅ 通过,✅,2026-08-20 12:00,✅ 全自动已定时 2026-08-20 12:00,https://www.xiaohongshu.com/explore/6a866071000000000b031602,已回填词库「怎么找领导表达自己想升职」（笔记链接待人工补）
2026-08-20 22:00,成稿_2026-08-08_数据还没出来先给日子.md,汇报时数据还没出来，他要的不是数据,✅ 通过,✅,2026-08-21 17:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-20 23:01 北京时间；自动选时间：❌ 面板没开（初次），第 4 次尝试… / ⛔ 日历面板没能打开（初次，已重试 4 次）
2026-08-20 22:01,成稿_2026-08-08_新领导空降先给你贴标签.md,新领导空降，他手上没有你的过去,✅ 通过,✅,2026-08-21 18:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-20 23:02 北京时间；自动选时间：❌ 面板没开（初次），第 4 次尝试… / ⛔ 日历面板没能打开（初次，已重试 4 次）
2026-08-20 22:02,成稿_2026-08-08_被说像背的不是背得不熟.md,面试回答被说像背的，他不是嫌你不熟,✅ 通过,✅,2026-08-21 20:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-20 23:03 北京时间；自动选时间：❌ 面板没开（初次），第 4 次尝试… / ⛔ 日历面板没能打开（初次，已重试 4 次）
2026-08-21 05:39,成稿_2026-08-08_数据还没出来先给日子.md,汇报时数据还没出来，他要的不是数据,✅ 通过,✅,2026-08-22 17:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-21 06:41 北京时间；自动选时间：❌ ⟳ 打开日历：坐标处是「」不是「2026-08-21 0」，重定位（第 3 次） / ⛔ 打开日历：三次重定位后坐标处仍是「」而非「2026-08-21 0」，不点，避免点错格子
2026-08-21 05:40,成稿_2026-08-08_新领导空降先给你贴标签.md,新领导空降，他手上没有你的过去,✅ 通过,✅,2026-08-22 18:00,✅ 全自动已定时 2026-08-22 18:00,https://www.xiaohongshu.com/explore/6a881d390000000032032659,已回填词库「新领导空降老员工如何应对」（笔记链接待人工补）
2026-08-21 05:41,成稿_2026-08-08_被说像背的不是背得不熟.md,面试回答被说像背的，他不是嫌你不熟,✅ 通过,✅,2026-08-22 09:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-21 06:43 北京时间；自动选时间：❌ ⟳ 打开日历：坐标处是「」不是「2026-08-21 0」，重定位（第 3 次） / ⛔ 打开日历：三次重定位后坐标处仍是「」而非「2026-08-21 0」，不点，避免点错格子
2026-08-21 22:00,成稿_2026-08-08_被说像背的不是背得不熟.md,面试回答被说像背的，他不是嫌你不熟,✅ 通过,❌,,— 未执行,,"：7 张 → {'success': True, 'files': 7}；预填结果：标题✗ 正文✗；CDP 代理不可用或操作失败：HTTP Error 400: Bad Request；先运行 node ~/.claude/skills/web-access/scripts/check-deps.mjs 启动代理后重试"
2026-08-21 23:43,成稿_2026-08-08_被说像背的不是背得不熟.md,面试回答被说像背的，他不是嫌你不熟,✅ 通过,✅,2026-08-22 20:00,✅ 全自动已定时 2026-08-22 20:00,https://www.xiaohongshu.com/explore/6a881dc1000000002a033a09,已回填词库「面试回答被说像背的怎么办」（笔记链接待人工补）
2026-08-21 23:44,成稿_2026-08-08_还没毕业他在算到岗日期.md,还没毕业去面试，他在算你哪天能到岗,✅ 通过,✅,2026-08-23 09:00,✅ 全自动已定时 2026-08-23 09:00,https://www.xiaohongshu.com/explore/6a891b52000000002b000c54,已回填词库「还没毕业去面试怎么说」（笔记链接待人工补）
2026-08-22 22:00,成稿_2026-08-08_面试感谢不是礼貌问题.md,面试时说感谢，他记的不是你的礼貌,✅ 通过,✅,2026-08-23 11:00,⏸ 待人工定时,,定时开关：已打开 · 定时发布 2026-08-22 23:01 北京时间；自动选时间：❌ 面板没开（初次），第 4 次尝试… / ⛔ 日历面板没能打开（初次，已重试 4 次）
2026-08-22 22:01,成稿_2026-08-11_微信问结果越客气越不回.md,微信问面试结果，越客气他越不回,✅ 通过,✅,2026-08-23 12:00,✅ 全自动已定时 2026-08-23 12:00,https://www.xiaohongshu.com/explore/6a8a5496000000001402739d,已回填词库「微信问面试结果话术」（笔记链接待人工补）
2026-08-22 22:02,成稿_2026-08-15_离职原因不想编.md,离职原因不想编，HR核的从来不是理由,✅ 通过,✅,2026-08-23 20:00,✅ 全自动已定时 2026-08-23 20:00,https://www.xiaohongshu.com/explore/6a8a54e4000000003a02cf91,已回填词库「离职原因不想编怎么说」（笔记链接待人工补）
2026-08-23 22:00,成稿_2026-08-08_面试感谢不是礼貌问题.md,面试时说感谢，他记的不是你的礼貌,✅ 通过,✅,2026-08-24 22:00,✅ 全自动已定时 2026-08-24 22:00,https://www.xiaohongshu.com/explore/6a8ba5d0000000000902df41,已回填词库「面试时该不该对面试官说感谢」（笔记链接待人工补）
2026-08-23 22:01,成稿_2026-08-15_面试话术太学生气.md,面试话术太学生气，他问不出第二个问题,✅ 通过,✅,2026-08-24 11:00,✅ 全自动已定时 2026-08-24 11:00,https://www.xiaohongshu.com/explore/6a8ba61a000000002b002234,已回填词库「面试话术太学生气怎么改」（笔记链接待人工补）
2026-08-23 22:02,成稿_2026-08-17_面试官看出能力差.md,面试官看出能力差，读的是你卡住那几秒,✅ 通过,✅,2026-08-24 18:00,✅ 全自动已定时 2026-08-24 18:00,https://www.xiaohongshu.com/explore/6a8ba668000000000b024b10,已回填词库「面试官是怎么看出来一个人能力差的」（笔记链接待人工补）
2026-08-24 22:00,成稿_2026-08-18_当众发言紧张怎么办.md,刷到这条，祝你上台第一句稳住,✅ 通过,✅,2026-08-25 20:00,✅ 全自动已定时 2026-08-25 20:00,https://www.xiaohongshu.com/explore/6a8cf75c0000000018018abc,词库无匹配关键词（标题「刷到这条，祝你上台第一句稳住」；成稿声明的词「当众发言紧张怎么办」不在词库里），发布日未回填
2026-08-24 22:01,成稿_2026-08-18_终面低人一等.md,终面低人一等，大领导是怎么看出来的,✅ 通过,✅,2026-08-26 09:00,✅ 全自动已定时 2026-08-26 09:00,https://www.xiaohongshu.com/explore/6a8cf7fd000000002a025676,已回填词库「终面怎么说话才不显得低人一等」（笔记链接待人工补）
2026-08-24 22:02,成稿_2026-08-19_终面低人一等.md,终面低人一等，大领导是怎么看出来的,✅ 通过,✅,2026-08-25 17:00,✅ 全自动已定时 2026-08-25 17:00,https://www.xiaohongshu.com/explore/6a8cf7fd000000002a025676,已回填词库「终面怎么说话才不显得低人一等」（笔记链接待人工补）
2026-08-25 22:00,成稿_2026-08-19_述职一句话写出价值.md,述职一句话写出价值，领导只算省了谁的事,✅ 通过,❌,,— 未执行,,CDP 代理不可用或操作失败：HTTP Error 400: Bad Request；先运行 node ~/.claude/skills/web-access/scripts/check-deps.mjs 启动代理后重试
2026-08-26 09:02,成稿_2026-08-19_述职一句话写出价值.md,述职一句话写出价值，领导只算省了谁的事,✅ 通过,❌,,— 未执行,,CDP 代理不可用或操作失败：HTTP Error 400: Bad Request；先运行 node ~/.claude/skills/web-access/scripts/check-deps.mjs 启动代理后重试
2026-08-26 09:03,成稿_2026-08-19_述职一句话写出价值.md,述职一句话写出价值，领导只算省了谁的事,✅ 通过,✅,2026-08-27 18:00,✅ 全自动已定时 2026-08-27 18:00,https://www.xiaohongshu.com/explore/6a8ee46c000000002003c4a9,已回填词库「述职 价值 怎么用一句话写出来」（笔记链接待人工补）
2026-08-26 09:26,成稿_2026-08-20_口头offer没下文.md,口头offer没下文，HR这时候在想什么（20字，落点在对方视角,✅ 通过,✅,2026-08-27 20:00,— dry-run 未点发布,,"预填完成；本次将用的时段是 2026-08-27 20:00（轮换池 [9, 11, 12, 17, 18, 20, 22]）"
2026-08-26 22:00,成稿_2026-08-20_口头offer没下文.md,口头offer没下文，HR这时候在想什么（20字，落点在对方视角,✅ 通过,✅,2026-08-27 20:00,✅ 全自动已定时 2026-08-27 20:00,,已回填词库「有口头offer怎么催正式offer」（笔记链接待人工补）
2026-08-26 22:01,成稿_2026-08-20_救场话术也忘了怎么办.md,救场话术也忘了，评委看的不是记忆力,✅ 通过,✅,2026-08-28 09:00,✅ 全自动已定时 2026-08-28 09:00,https://www.xiaohongshu.com/explore/6a8f9aa3000000002a031dfd,已回填词库「救场话术也忘了怎么办」（笔记链接待人工补）
2026-08-26 22:02,成稿_2026-08-20_终面低人一等.md,终面，大领导是怎么看出你把自己看低了的,✅ 通过,✅,2026-08-27 17:00,✅ 全自动已定时 2026-08-27 17:00,https://www.xiaohongshu.com/explore/6a8f9aed000000000502ae27,已回填词库「终面怎么说话才不显得低人一等」（笔记链接待人工补）
2026-08-26 22:03,成稿_2026-08-21_合同到期续签提涨薪.md,合同到期公司想续签，提涨薪他算的是这个,✅ 通过,✅,2026-08-28 09:00,✅ 全自动已定时 2026-08-28 09:00,https://www.xiaohongshu.com/explore/6a8f9b39000000002003ccef,已回填词库「合同到期公司想续签能不能提涨薪」（笔记链接待人工补）
2026-08-27 22:00,成稿_2026-08-22_答辩只答不辩.md,答辩只答不辩，道歉越多评委越怀疑你,✅ 通过,✅,2026-08-28 11:00,✅ 全自动已定时 2026-08-28 11:00,,已回填词库「答辩只答不辩会不会显得啥也不会」（笔记链接待人工补）
