日期,来源链接,用户原话,暴露的处境,候选词
2026-08-02,https://www.xiaohongshu.com/explore/682f7e0d000000002102a3d3,我直接说了 underpaid,直接把「钱少」当离职原因说出口，事后不确定这样对不对,
2026-08-02,https://www.xiaohongshu.com/explore/68350b2c00000000120047a3?xsec_token=ABnItfnlKtrdmsZAyljOayrnmgXR3wUPAmEAcuOaTZ26I=,确实总结到位。不过作为金融IT狗，感觉互联网的汇报风格和我们差别还挺大，我们更看重合规、风险和数据口径的严谨性。有同感的朋友可以点个赞，我看看要不要专门写一篇金融IT版本的,金融IT从业者反映通用汇报方法论与本行业合规/风险/数据口径严谨性的实际需求存在差异，希望有针对性版本,金融IT行业汇报怎么讲重合规风险
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=,我两年没工作昨说,长期职业空窗期（两年未工作）不知道面试时该如何主动说明,两年没工作面试怎么说
2026-08-02,https://www.xiaohongshu.com/explore/69744bc6000000000e00edb0?xsec_token=ABcaxvaqfW3yiOURBJLTlwIFWrXpvF97uv7xcDfDda5PI=&xsec_source=pc_search,考公考编空窗期怎么说,备考公务员/事业编导致简历出现职业空窗期，面试时不知如何主动向HR解释这段经历,考公考编空窗期怎么说
2026-08-02,https://www.xiaohongshu.com/explore/6a02f0f5000000000803e177?xsec_token=ABkXFKZTxfjr6_TrB3sY0sOPrH8d7gwTXXjlInKK7RSqQ=&xsec_source=pc_search,世另我🐒当时以为默认谈的是税后，结果……,入职谈薪时未主动确认税前税后口径，默认理解错误导致到手工资远低于预期,谈薪没问清楚税前税后怎么办
2026-08-02,https://www.xiaohongshu.com/explore/6a02f0f5000000000803e177?xsec_token=ABkXFKZTxfjr6_TrB3sY0sOPrH8d7gwTXXjlInKK7RSqQ=&xsec_source=pc_search,老师，收到offer那么多都是一条条问的吗😭感觉问太多了会不会让人觉得不稳定啊,拿到口头offer后想按清单逐项确认细则，又担心问题问多了显得不够干脆、给HR留下不稳定印象,谈薪问题问多了会不会显得不稳重
2026-08-02,https://www.xiaohongshu.com/explore/6a02f0f5000000000803e177?xsec_token=ABkXFKZTxfjr6_TrB3sY0sOPrH8d7gwTXXjlInKK7RSqQ=&xsec_source=pc_search,入职前跟我说了年终奖是13薪，但忘记问中途入职怎么算🥲，现在转正一直没给我发，说需要通过+2跟我谈话根据情况发这对吗,入职时未问清年终奖对非全年在职员工的折算规则，转正后年终奖发放被和绩效谈话结果绑定，处于被动等待状态,年终奖中途入职怎么算
2026-08-02,（记忆库·采集标题）,自我介绍,面试｜出自热度 48000 的笔记：原来大家面试时「自我介绍」都是这么回答,
2026-08-02,（记忆库·采集标题）,你的缺点,"面试｜出自热度 15000 的笔记：HR问""你的缺点""该怎么回答（一篇讲清楚）文字版",
2026-08-02,（记忆库·采集标题）,还有其他offer吗,"谈薪｜出自热度 9872 的笔记：面试被问""还有其他offer吗""，超绝答案‼",
2026-08-02,（记忆库·采集标题）,你的缺点是什么,待归类｜出自热度 6639 的笔记：“你的缺点是什么” 我听过最真诚的回答,
2026-08-02,（记忆库·采集标题）,"这几个词一出现,就暴露你在用 AI","待归类｜出自热度 2261 的笔记：「这几个词一出现,就暴露你在用 AI」",
2026-08-02,（记忆库·采集标题）,你永远不会知道说中文的我有多聪明,"待归类｜出自热度 989 的笔记：""你永远不会知道说中文的我有多聪明""",
2026-08-02,（记忆库·采集标题）,有别的offer吗,"谈薪｜出自热度 753 的笔记：HR问""有别的offer吗""，到底怎么答",
2026-08-02,https://www.xiaohongshu.com/explore/698884ca000000000e03d655?xsec_token=AByV1XBqZUbbWNeo_IKurk7gLzHtXZ7fmKNPcU2TQ_dlk=&xsec_source=pc_search,@问一问 把图片内容整理成文字稿,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,我现在的工作也很轻松 每天工作6-8小时 工资8000没压力,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,对面问薪资该如何回答 ，我是这样回答 期望薪资在你们的写的范围内,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,我就学了这个，被人家说是AI,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,之前自学上岸都是一边背资料一边模拟练习,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,来到公司就像回到家，我对下班没概念。单身，没有结婚打算，缺钱。ok拿捏死[棒R]成功一半,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,都是虚的 有的能力强的就是懒得说客套话。会说客套话的不一定做的好。作为老板认不清这一点趁早关了公司找个班儿上，一天天的净整这些虚的,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/6a5e2dc40000000014004207?xsec_token=ABoihdyoCA0DQjoIvzznrui1OaVBQc-r02jBNHIGckk-0=&xsec_source=pc_search,礼貌借楼！楼主发财！ 🎈乌鲁木齐想做短视频的姐妹快看！这家公司真的不内卷 同事相处都很舒服，不用天天内耗加班 出境主播和幕后人员全都在招人，零基础也能带，待遇很实在（化妆师 主持 经纪人 主播） 想找稳定工作的可以私信问问～,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69d7063600000000210122ce?xsec_token=ABSNoVHsMcXM505990WyHIcXXY6x96oGo4-nUTX-vdKa0=&xsec_source=pc_search,谢谢你的分享，但我不觉得第一个说辞有问题。反观重点是面试时的语气，这个才更重要。面试者要很有自信的说出这句话，只有唯唯诺诺才会显得你低人一等。,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69d7063600000000210122ce?xsec_token=ABSNoVHsMcXM505990WyHIcXXY6x96oGo4-nUTX-vdKa0=&xsec_source=pc_search,"maybe it is the difference between interview and real work. at work, a company doesn't value equality at all.",探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69d7063600000000210122ce?xsec_token=ABSNoVHsMcXM505990WyHIcXXY6x96oGo4-nUTX-vdKa0=&xsec_source=pc_search,可是面试官也说了，感谢我花时间来参加这个面试啊他能说，我不能说,探测词：总经理终面一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69b660b30000000021006586?xsec_token=ABEwDNZTz6J8Nuo1MCcNWuwwvgiXDYNnhR9v1mC4LF3Ss=&xsec_source=pc_search,有无笔版的吗，字好看想做壁纸,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/69b660b30000000021006586?xsec_token=ABEwDNZTz6J8Nuo1MCcNWuwwvgiXDYNnhR9v1mC4LF3Ss=&xsec_source=pc_search,字好看的想报警，练的什么字体啊？,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/69b660b30000000021006586?xsec_token=ABEwDNZTz6J8Nuo1MCcNWuwwvgiXDYNnhR9v1mC4LF3Ss=&xsec_source=pc_search,如此简介的表达，却又如此有效👍,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/69b660b30000000021006586?xsec_token=ABEwDNZTz6J8Nuo1MCcNWuwwvgiXDYNnhR9v1mC4LF3Ss=&xsec_source=pc_search,您好，请问5why是什么,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/69b660b30000000021006586?xsec_token=ABEwDNZTz6J8Nuo1MCcNWuwwvgiXDYNnhR9v1mC4LF3Ss=&xsec_source=pc_search,第一性原理，批判性和系統性思維可以深入解釋一下嗎？謝謝,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,@问一问 把视频内容以文字形式输出,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,我们七月要述职了这个思路真的很棒，我差点又要罗列我的工作了,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,@问一问 帮我详细的总结视频中的内容,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,大家嘴里说的价值，高价值，具体用文字怎么说呢,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,请问一下业务理解板块需要呈现的数据是自己已经做到的数据对于公司或者部门业务方向的帮助吗,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,角色认知是写当下的角色还是要晋升的那个角色？,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68493b3e0000000022028147?xsec_token=ABYS5TJnLkgLgFe2n4gBO0Dbd8iyrG6Rkpq8wihKkh1fU=&xsec_source=pc_search,讲的真棒，但是jue角色，不是jiao色,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,二面的时候那群人跟流水线一样，30分钟一个，感觉还没交流就结束了他们要喊下一个了,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,昨天看到了这位的评论 我也点赞了你的帖子[嘻嘻R]加油,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,确实，自信平等的面试表现更容易拿到offer ，好几次经历都是越不重视（不是说不认真对待，只是不把对方姿态放在高位），越觉得这家公司我不会去的，结果面试结果都很好，我后来复盘是因为我越是这种状态下，越自信，可以侃侃而谈,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,那权贵去哪里看病啊医院都敢安排不怕反噬,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,老师能不能再让我进一次复活赛。。,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,面试过了，心理测评给我挂了,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/68078bfa000000001202c272?xsec_token=ABOVXCDXpN_HMXnM9aBu3R08Uwq7ugzX1gPRGHrhM67uI=&xsec_source=pc_search,人生中的课题会在职场反复出现，确实如此。,探测词：晋升答辩 数据来源被追问 怎么答,
2026-08-02,https://www.xiaohongshu.com/explore/69e7067f0000000021039f48?xsec_token=ABnzAj24hjdG0uGpKfz6mbOQPU80DGjNR3qXVmsDv1wgo=&xsec_source=pc_search,可是第一个不是技术那边说数据不太行还没出来吗？那怎么会有新报表？不是应该怎么回复数据更新没出来的原因吗？,探测词：汇报被领导打断怎么接,
2026-08-02,https://www.xiaohongshu.com/explore/69e7067f0000000021039f48?xsec_token=ABnzAj24hjdG0uGpKfz6mbOQPU80DGjNR3qXVmsDv1wgo=&xsec_source=pc_search,都顺着“领导”方便顺手就好。这没点时间，是不一定能顺明白的,探测词：汇报被领导打断怎么接,
2026-08-02,https://www.xiaohongshu.com/explore/6a32b981000000001c0245f9?xsec_token=ABWceEXMDSPnNzKm9DzMPEj9aWumfzkmrQhoXK0Ji9JzM=&xsec_source=pc_search,真正体会过的人才知道连续好长一段时间经历这样的事情有多崩溃,探测词：汇报被领导打断怎么接,
2026-08-02,https://www.xiaohongshu.com/explore/6a0d875a000000003700ea0d?xsec_token=ABPcuE_PJ-3g8HlVeSNJWQrF5v80CP4vJguXKIx1xy1Ho=&xsec_source=pc_search,每次汇报都能完成这三点的人真的存在吗？,探测词：汇报被领导打断怎么接,
2026-08-02,https://www.xiaohongshu.com/explore/679c48680000000018019792?xsec_token=ABy1JbSsotTzdLZ1pLgNaX7kvWvK2lBEq6PEfx2oXrmIs=&xsec_source=pc_search,1.明确角色 很高兴加入这个团队，经常听领导夸奖咱们团队2.说明工作计划:我刚来不久还不太了解大家的情况，大家的工作一切照旧，接下来我会逐步约大家的时间，跟大家交流的3.设定你的基调，了解到我们团队在过去的工作上可能存在一些卡点，大家可能在一些事情上缺乏一些管理上的支持，有问题欢迎来一起探讨，我非常希望能够跟大家一起并肩作战，让我们这个团队绩效越来越好,探测词：空降新老板前30天怎么站稳,
2026-08-02,https://www.xiaohongshu.com/explore/679c48680000000018019792?xsec_token=ABy1JbSsotTzdLZ1pLgNaX7kvWvK2lBEq6PEfx2oXrmIs=&xsec_source=pc_search,看了这么多，还是你这个最有用,探测词：空降新老板前30天怎么站稳,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,她其实答非所问。你问他问什么来你们公司，她回答她为什么是你们公司需要的。但是她一点都没提到她为啥要去。,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,"Cut the shit, I have the skill you want and I want the money you have",探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,我当时就说公司离我家太近了,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,Haha I've heard people answer: I want to work here cause I need money 😭 🤣,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,每个面试的都肯定说的很好听很富丽堂皇的 真的进岗位会不会做又是另外一回事,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,我经理： 为什么要做这个工作？ 我：我想要个简单工作，没有兴趣升职或跳槽。第二天：我被录取了（其他几个都被拒了）,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,new grad该怎么回答呢,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,"Actually capitalism is a cult.. companies are like narcissists, you just need to repeat the narrative that benefits them.",探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/695ed1f0000000002103f47a?xsec_token=ABFfV6A0As8ZPK4LAEpUvQGJVCeFoHVrSAFxOIlg7QLsY=&xsec_source=pc_search,两个候选人，没有选大厂那个的最直接原因应该是太贵了，跟回答并没有任何直接关系,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,面试前问那么多，hr会不耐烦吧。正常这些都是和业务面完，和hr沟通吧,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,一次性问这么多问题对面态度就会很不好了其实不耐烦 觉得怎么这么多问题要问 还会pua你,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,请问这样的还需要问什么吗,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,济南这里全是带有试岗期的公司，问了一个1000人的一个企业，有没有试岗期，人家居然回你有没有工作过？哪有公司没有试岗期的？,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,年假是在一个公司满10年？还是累计工龄10年即可？,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,这个作为护理应届生转没经验口腔护士的第一份工作怎么样,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,可以问，但仅限于国企外企和个别良心企私企，多数私企根本不会回答你这么多,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/69789188000000000d00a7a3?xsec_token=ABcxaMN_pdcA4UCoxHwpc0SMKiloCdQ-JjJkae59tTAtk=&xsec_source=pc_search,我想问哪个单位招人不用试用期的，你招人也要先试用期吧,探测词：第三轮hr面试一般会问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,大众职位这样可以，非常senior 的岗位一般不会这样问。,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,我一般只问面试人他们真正能了解组内实际工作方面的问题： 1. 你们为什么招人/上一个离职的人是什么原因 2. 你们解决的最困难的问题是什么？怎么解决的 3. 组内的短期和长期计划,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,这不是面试问候选人的问题吗,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,您好，想请问一下如果有两个候选人，其中一个是大公司的不太相关岗位，另一个是小公司的直接相关岗位，您会更倾向于哪个呢？,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,我自己很喜欢问1 是个很好判断这人是不是我喜欢的领导的问题 我觉得一起工作总有价值观看不上看得上 与其委曲求全 不如大家都找自己看得上的人工作 反正天下单位有的是,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,前两天看到一个视频号发了基本一模一样的内容，是不是被抄袭了呀？,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/68edccba000000000301d863?xsec_token=ABkFXDDqjZ4BCVOAHxHL0XU-9r5-DNJC9xMQZ3PLY1HVk=&xsec_source=pc_search,作为面试和被面试的，我喜欢问“如果我被select，你希望我在三个，或者六个月解决的top 3个project/issue/痛点是什么” 这个可以知道他们为什么要找这个role，或者他知道我们迫切需要解决的问题，可惜的是，相同的问题我面试一个澳洲独角兽head IT的role，我提问面试我的是该公司CTO的时候，他既然只能说一个painpoint，另外一个是自己根本都说不清，也没有第三个，或许他觉得这个问题我让他难堪了，后面的问题也聊不好，我就gg了，但想想也不是坏事,探测词：第三面hr面试问什么,
2026-08-02,https://www.xiaohongshu.com/explore/66f17118000000002a0370f7?xsec_token=AB7lQ4fGatvgvI_C--14Q90_B-HdnGMVI6rrUcMhK23UA=&xsec_source=pc_search,真的不能辩，我辩了两句话直接二辩了,探测词：答辩PPT讲到一半被打断怎么办,
2026-08-02,https://www.xiaohongshu.com/explore/66f17118000000002a0370f7?xsec_token=AB7lQ4fGatvgvI_C--14Q90_B-HdnGMVI6rrUcMhK23UA=&xsec_source=pc_search,我现在崩溃了，说话的声音都在发抖，结结巴巴的，评委老师的问题一个都答不上来，大脑一片空白。,探测词：答辩PPT讲到一半被打断怎么办,
2026-08-02,https://www.xiaohongshu.com/explore/66f17118000000002a0370f7?xsec_token=AB7lQ4fGatvgvI_C--14Q90_B-HdnGMVI6rrUcMhK23UA=&xsec_source=pc_search,本科阶段就是发现问题，解决问题，自我探索，自我完善的过程。,探测词：答辩PPT讲到一半被打断怎么办,
